,A,mce3R
SRX6845149,8.7124038765,0.4364220722
SRX6845151,0.5994600695,-0.2144417365
SRX6845152,0.3167542986,-0.1998103976
SRX6845145,9.6926729303,0.8169413640000001
SRX6845146,8.8692424746,0.5154050114000001
SRX6845142,1.9181802236,0.2633550563
SRX6845141,0.6837012715,0.4728406927
SRX6845144,0.5416415359,-0.1386725759
SRX6845143,-0.5416415359,0.1386725759
SRX5605051,0.1309869515,0.0742609749
SRX5605045,-0.1309869515,-0.0742609749
SRX5605060,-0.4379556223,-0.2782582984
SRX5605059,-0.2255432429,-0.2813132612
SRX2382017,0.4135236627,-0.0073927052
SRX2382024,-0.4135236627,0.0073927052
SRX2382027,1.6177806894,0.35062241040000003
SRX2382029,1.8407527036,0.2610860102
SRX2382217,0.8328735353000001,0.1860162074
SRX2382023,0.5349259338,0.22286120780000002
SRX2382218,-2.5200823689,-0.3157516493
SRX2382219,-0.7566160871000001,-0.18963261280000002
SRX2382213,1.8770274843,0.21457775980000002
SRX2382019,2.1510957278,0.47395986570000004
SRX2382214,1.0140339128,0.4382539964
SRX2382215,1.7367811616000002,0.26241394090000003
SRX2382020,1.7002940619,0.3883236625
SRX2382216,3.0038211213,0.2953116448
SRX2382022,1.7091202074,0.47170908450000004
SRX2382033,-0.4554659279,0.1585926441
SRX2382220,9.8538893173,1.2395046818
SRX2382222,9.5171666922,1.1886555457
SRX2382030,7.964698651,0.7648639491
SRX4506350,0.24947717630000002,0.0239426299
SRX4506352,0.0885343036,-0.11010177560000001
SRX4506354,0.1598485702,-0.0231653981
SRX4506348,0.1337195016,0.0760667651
SRX4506346,-0.0058462251000000005,-0.0417803012
SRX4506344,-0.1278732765,-0.0342864639
SRX4506351,-2.3357269216,0.4429105754
SRX4506353,-2.3185097977,0.2934211105
SRX4506355,-1.8054194754,0.364265225
SRX4506349,0.2914009788,0.2587123122
SRX4506345,0.4161312894,0.3429014474
SRX4506347,0.3570842394,0.3545163177
SRX4514122,-0.5323074887,-0.8614044003
SRX4514124,-0.34382144740000004,0.7986498972
SRX4514126,-0.4940632186,0.8184668965
SRX4514120,0.774292139,-0.9324596350000001
SRX4514112,0.3550254694,-0.9932408509
SRX4514116,-0.4544259411,0.9299844483
SRX4514118,0.0436588311,0.9873415259
SRX4514114,0.0557416405,-0.9240851234
SRX4514121,-0.4221374812,-0.8277699216000001
SRX4514125,-0.7882510297,0.7709785571000001
