,A,argR
SRX2923400,5.1461382944,-0.40423959940000004
SRX2923401,4.754867571,-0.4858737772
SRX2923403,1.8806369632000002,-0.4171943543
SRX2923402,-0.7981177046,-1.0670424043
SRX6853288,2.135367976,0.43181987850000003
SRX6853287,1.3265551071,0.344378457
SRX6853286,0.2999599629,0.22280264930000002
SRX6853284,-0.1547546662,0.009286637
SRX6853285,0.9328700146000001,0.23607415680000002
SRX6853283,-0.7781153483000001,-0.2453607938
SRX4319040,0.5617645153,0.1831253799
SRX4319041,-0.6330535089,-0.3003570515
SRX4319039,0.07128899350000001,0.1172316717
SRX4314613,-2.8108780975,-1.7039058924
SRX4314614,-0.36574923810000004,-0.9209622175000001
SRX4314615,-2.2632694155,-1.8728704437
SRX4314632,0.3402577268,-0.9968814957000001
SRX4314631,1.3785632494,-0.6339842513
SRX4314633,1.6149929428,-0.9904699255
SRX4314622,-0.0009132341,-1.6397606739000001
SRX4314623,-0.671013807,-1.7515481917
SRX4314624,-0.8575515415,-1.6882046625
SRX4314611,0.1526641494,-0.2572337093
SRX4314610,-0.1321094202,0.2140394668
SRX4314612,-0.0205547292,0.0431942424
SRX4314630,0.6178381469,-0.0360208257
SRX4314628,1.337464056,0.3816196743
SRX4314629,1.8125282786999999,0.4475305109
SRX4314619,-0.2323669843,0.0231174078
SRX4314621,-0.011654602200000001,-0.7136926292
SRX4314620,0.0667213848,-0.008222801200000001
SRX7119390,-0.0982066416,0.0009312432000000001
SRX7119388,0.0982066416,-0.0009312432000000001
SRX7119386,0.4733889277,-0.5690993280000001
SRX7119385,2.0771964156,-0.32733086380000004
SRX7119387,1.8715335311999999,-0.2689342689
SRX3746749,0.577160821,-0.0095996134
SRX3746748,-2.062106391,-0.4677142912
SRX3746751,-3.4625587916000002,-2.5531841111
SRX3746750,-2.3959867231,-1.2908704672
SRX3746752,-0.13747712380000002,-0.12418650710000001
SRX3746753,-3.455602509,-1.7147457761
SRX3746755,-2.215503625,-0.8275392717000001
SRX3746754,2.215503625,0.8275392717000001
SRX2345943,-0.6298460295,0.016218183
SRX2345942,0.6298460295,-0.016218183
SRX2345941,0.9981455666000001,0.0801280983
SRX2345940,1.0111442975,0.3880301256
SRX3992217,1.6635433626,0.1838947178
SRX3992216,-0.17947828840000002,0.0145522896
SRX3992214,-3.4013222384,-0.4791842781
SRX3992215,1.8142513593,0.5559907537000001
SRX3992221,3.0998705454,0.8220335076
SRX3992220,-3.6441131489,-0.6040989821
SRX3992219,4.0234527511,0.11769313020000001
SRX3992218,1.7619860396,-0.20576307900000002
SRX3992201,2.3716837602,0.048827546400000005
SRX3992200,3.6716590754,0.0394356126
SRX3992198,1.6930153083000001,0.3178657386
SRX3992199,-0.3905313972,-0.038071963800000004
SRX3992202,-0.4562127248,0.074635161
