,A,mprA
SRX1882561,5.4405679837,-0.7075227995000001
SRX1882563,5.7441108098,-0.7138907546000001
SRX1882562,5.6029766396,-0.7401042286
SRX1882565,6.6871651984,-0.1483991366
SRX1882566,5.8877768538,-0.13658105980000002
SRX1882564,6.7437996637,-0.15824922730000002
SRX1882568,6.1808554939,0.3791441312
SRX1882567,6.3929559827,0.21303504480000002
SRX1882569,6.2952997243,0.26672682410000004
SRX1882555,0.1287039959,-0.033577825400000004
SRX1882557,0.0302377668,0.0186868063
SRX1882556,-0.15894176270000002,0.0148910191
SRX5088615,2.117002965,0.0840836952
SRX5088616,2.5760775754000003,0.6022352775
SRX6845150,-11.1615307015,1.080289546
SRX6845149,-11.097239579,2.3071145098
SRX6845151,0.7666703993,-0.12772075130000002
SRX6845152,1.5193398148,0.2724604672
SRX6845145,-7.1451404081,1.8279749003
SRX6845146,-6.9475665248,1.421282093
SRX6845142,-1.5839114056999999,0.5563019102
SRX6845141,-1.6375116545,0.3060051455
SRX6845144,0.3484368382,0.1503736137
SRX6845143,-0.3484368382,-0.1503736137
SRX5605051,0.1620447922,-0.0217482126
SRX5605045,-0.1620447922,0.0217482126
SRX5605060,-0.0118444389,0.1113051505
SRX5605059,0.6811601643,-0.0799767866
SRX2382017,-0.3951822493,0.030295251500000002
SRX2382024,0.3951822493,-0.030295251500000002
SRX2382027,7.7357915003,0.20932856900000002
SRX2382029,8.5466517643,0.2106085644
SRX2382217,7.3162240480000005,0.0472147159
SRX2382023,8.1010570132,0.3716998892
SRX2382218,-1.3821798098,-0.2340390696
SRX2382219,-1.8142438992,-0.0824397198
SRX2382213,8.5247141497,0.17591330530000002
SRX2382019,7.6250207052,-0.08395746100000001
SRX2382214,-2.9563696573,0.1521278802
SRX2382215,-1.5695082404,-0.2308979345
SRX2382020,-3.3041204956,0.2664099568
SRX2382216,-2.5015462959,0.43815624070000003
SRX2382022,-2.4410251801,0.2558895439
SRX2382033,-0.3583623011,0.2207736746
SRX2382220,3.8530845831000002,0.4902839171
SRX2382222,4.3288032429,0.3818376847
SRX2382030,-1.3478737295,-0.0119868491
SRX4506350,0.2992986655,0.0402921417
SRX4506352,-0.0356399087,-0.0059751427
SRX4506354,-0.3484799078,0.0295607282
SRX4506348,-0.0598946251,0.0206822257
SRX4506346,-0.0100817473,-0.0119750697
SRX4506344,0.0699763724,-0.008707156
