,A,virS
SRX5079929,-2.3305641449,-0.9996372688
SRX5079923,-3.2304708076,-0.6763833359
SRX5079924,-2.3092337748,-1.0787381301
SRX5079922,-2.8763376577,-0.5900068895
SRX5079920,-0.096970153,0.1119269714
SRX5079921,0.43009229590000003,-0.1258263527
SRX5079919,-0.33312214290000003,0.013899381300000001
SRX5079926,-2.3766136490000003,-0.5975823054
SRX5079925,-2.8336922107999998,-0.9363531883
SRX5079927,-1.9689870928,-0.8188966252000001
SRX894005,-0.7739171224,1.7331394155000002
SRX894004,-0.7168242071,1.7439914044
SRX894006,-0.2558886681,1.7464929
SRX893999,-1.0905493757,0.2108197725
SRX894000,0.2445411899,0.16506711940000002
SRX893998,0.8460081858,-0.37588689200000003
SRX4647489,-0.45905848800000004,0.0596791314
SRX4647490,0.45905848800000004,-0.0596791314
SRX4647492,0.15624174470000002,0.16344424470000002
SRX4647491,0.0031312736,0.0933499778
SRX4647496,-0.4761732718,-0.15465018830000002
SRX4647495,-0.3778233406,-0.1377051335
SRX4647499,-0.1045150546,-0.0885734381
SRX4647500,-0.1671834337,-0.0470522067
SRX4647493,-0.3164345959,-0.27525468680000004
SRX4647494,-1.1294928334,-0.16647416140000001
SRX4647497,-0.3400422558,-0.0584297144
SRX4647498,-0.3337080459,-0.0722885393
SRX4505482,0.0701577709,-0.6880511253
SRX4505486,0.7164174544,-0.5281198882
SRX4505484,0.0261544909,-0.9524986385
SRX4505473,0.9538788279,-0.4967504113
SRX4505476,0.6716981472,0.31780360500000004
SRX4505480,0.1020882578,0.0981005888
SRX4505478,-0.41469243380000004,-0.7231595197
SRX4505474,-0.35909397120000003,0.307255326
SRX4505483,-0.5232009834,0.0291154547
SRX4505485,-1.0710559613,-0.2087970724
SRX4505487,-0.9022468867000001,0.1687674166
SRX4505488,-0.5082396059000001,0.18695456700000002
SRX4505481,-0.5672722778,0.1073558912
SRX4505477,-0.3081824559,0.025779504800000002
SRX4505475,-0.5782382555000001,0.1373289581
SRX4505479,-0.6234385108,-0.1371189196
SRX4605773,0.0009932802,-0.2034896782
SRX4605774,-0.058410456900000005,0.0709517689
SRX4605772,-0.4359955139,0.0799976213
