,A,iniR
SRX4605774,-0.2551948352,-0.054613281900000005
SRX4605772,-0.043775190400000004,-0.0182530102
SRX4605771,0.043775190400000004,0.0182530102
SRX5178871,1.0488238434,0.0686782033
SRX5178872,1.3191805044,0.0599237248
SRX5178868,0.8499047466,-0.1174966454
SRX5178870,-0.3336403034,0.0327119089
SRX5178869,-0.5162644433,0.0847847365
ERX1404045,-0.230448391,0.0263987271
ERX1404046,0.230448391,-0.0263987271
ERX1404043,-0.8204774459,-0.3034892461
ERX1404044,-0.2498776201,0.028010393
ERX237502,-3.4563600682,0.4680078425
ERX237505,-1.9998708866000001,0.7579659813
ERX237506,-3.6981980943,0.7466255768000001
ERX237500,-7.1132908615,-1.3596714989
ERX237497,-7.0182334095,-1.279497943
ERX237499,-5.0063668308,-1.2443095347
ERX237507,0.008786957,-0.31764208390000004
ERX237496,-0.4253987909,-0.0760277116
ERX237504,0.4166118339,0.39366979550000003
ERX3772318,-0.6308776918,-0.38384888030000003
ERX3772320,-0.5781965081,-0.3488532435
ERX3772319,-0.625838226,-0.24028974020000002
ERX3772321,0.3907421827,-0.1370802372
ERX3772322,0.4209083111,0.1250536986
ERX3772323,-0.8116504939,0.012026538600000001
SRX4314262,0.0124584979,-0.27672340370000004
SRX4314263,0.7374879337,-0.1088474128
SRX4314261,-0.7499464316000001,0.3855708165
SRX4314265,-0.6192335488,0.0836456319
SRX4314266,-0.41155727210000004,0.21398861160000002
SRX4314264,-0.5325953267,-0.3139630087
SRX4314268,0.0607611115,-0.9671505175
SRX4314267,0.6606572326,-0.6803341703
SRX4314271,1.4002015652,-0.5915921792000001
SRX4314272,1.0654173883,-0.5589421198
SRX4314275,0.1728189551,-0.8753027771
SRX4314274,0.0272336427,-0.6076306187
SRX4314273,0.9418803666000001,-0.5481764987000001
SRX4314278,0.3742512296,-0.8025408217000001
SRX4314276,-0.2522533,-0.6925917608000001
SRX4314281,0.3606716692,-0.7378649073
SRX4314279,-0.1094787427,-0.6983422425
SRX4314280,0.5332139082,-0.6654716453
SRX4314284,-0.2166914868,-0.7596204447
SRX4314283,0.41908532600000004,-0.9359426867
SRX4314282,0.2754282957,-0.80846301
SRX4314293,-0.2157600022,-0.8767125434
SRX4314292,0.4775106591,-0.7719914774000001
SRX4314291,1.2137238185,-0.3091348326
SRX4314297,3.0276379247,0.3529420223
SRX4314298,2.4775626296,-0.35392529640000003
SRX4314299,2.2858328182,0.34879704110000004
SRX4314302,2.8437357408,0.4418400689
SRX4314301,2.9382174785,-0.4846192131
SRX4314300,3.3067698178000002,-0.11421250170000001
SRX4314305,4.3690481882,-0.0349619606
SRX4314304,5.6561471795,-0.6745754914000001
SRX4314303,5.1377214145,-0.4122933288
SRX4314309,5.8505782977,-0.4724318514
SRX4314306,4.9066816808,-0.4483180386
SRX4314308,5.0163572107,-0.1020757524
SRX4314307,5.3464629043,-0.2671901591
SRX4314311,5.4348076824,0.27013938600000004
SRX4314317,6.2904678719,0.18862350420000001
SRX4314316,6.3639972270000005,0.0030276824
SRX4314318,9.7454103637,0.7393182504
SRX4314319,8.9895806559,0.5007526667000001
SRX4314331,10.2120065747,-0.6177994821
SRX4314330,10.5532408917,-0.486861178
SRX4314332,10.8265866428,-0.4243871576
SRX4314335,11.0513376413,-1.0527832841
