,A,ideR
SRX4506277,1.2865310793,-0.029119348700000002
SRX4506272,1.1994525769,0.0009330141000000001
SRX2923393,0.1343447593,-0.10786464150000001
SRX2923394,-0.1343447593,0.10786464150000001
SRX2923398,-0.2899451011,0.4677747883
SRX2923397,4.3176072385,0.3440714655
SRX2923395,10.1412012214,0.8134375082
SRX2923396,9.7669021233,0.832442193
SRX2923400,0.12860870800000002,0.042789066300000005
SRX2923401,-0.3003445068,0.3782434729
SRX2923403,5.5879579158,1.022609397
SRX2923402,3.488446123,0.9921824444
SRX6853288,-0.6511750852,0.20317172960000002
SRX6853287,-0.21536901290000002,0.3481241489
SRX6853286,-0.1647291247,0.3122307082
SRX6853284,-0.0678673227,0.1216338047
SRX6853285,-0.2558794387,-0.0351377586
SRX6853283,0.3237467614,-0.0864960461
SRX4319040,0.049059802000000007,0.040849467
SRX4319041,-0.1263066017,-0.0734582721
SRX4319039,0.07724679970000001,0.032608805000000005
SRX4314613,1.0319057575,-0.2967858612
SRX4314614,2.7629667495,-0.33854569370000004
SRX4314615,0.8146275654,-0.2040714726
SRX4314632,12.2873476974,0.0275974264
SRX4314631,13.6793476944,0.2548714238
SRX4314633,12.5088458744,0.42609210540000003
SRX4314622,2.0577823372,-0.11353383610000001
SRX4314623,1.7598969128,-0.1298370676
SRX4314624,1.809108996,-0.12378092900000001
SRX4314611,-0.22043794020000002,0.0033274188000000002
SRX4314610,-0.0638966124,0.006187016500000001
SRX4314612,0.2843345527,-0.0095144353
SRX4314630,4.2278634654000005,-0.3223520009
SRX4314628,4.430705386,-0.2162311914
SRX4314629,4.4001441208,-0.20797291410000002
SRX4314619,5.2870020549,-0.30797346470000003
SRX4314621,4.9637969103,-0.4434152765
SRX4314620,5.1477944934,-0.2349676098
SRX7119390,0.409615051,0.020280034000000002
SRX7119388,-0.409615051,-0.020280034000000002
SRX7119386,4.4647203665,1.7837565428
SRX7119385,4.224464174,1.8008219965999999
SRX7119387,2.5712920053,1.6702962843
SRX3746749,1.1307098741,0.3340357942
SRX3746748,0.9338253099,0.16753493590000001
SRX3746751,-3.1648960228,-1.3586072423
SRX3746750,-1.9429338483,-0.7130560971000001
SRX3746752,1.1907148659,-0.259928946
SRX3746753,2.7713141726,-1.1799629642
SRX3746755,-0.050374456500000005,-0.1669146324
SRX3746754,0.050374456500000005,0.1669146324
SRX2345943,-0.7542406553000001,-0.10768473440000001
SRX2345942,0.7542406553000001,0.10768473440000001
SRX2345941,1.2082455818,0.8384061449
SRX2345940,2.8006448999,0.8350037912
SRX3992217,-1.6150241603,0.0385466607
SRX3992216,-0.4429504878,0.3671979716
SRX3992214,-0.0115903636,-1.7068355137
SRX3992215,0.180112728,-1.5296097006
SRX3992221,1.7531017936,-1.7060674398
SRX3992220,0.1490766365,-1.6385133542
SRX3992219,-15.9344745476,0.5575433658
SRX3992218,-14.4924588682,0.697970446
SRX3992201,-14.280529872,0.6069757409000001
SRX3992200,-16.0446422259,0.6621324217
SRX3992198,-1.4908399729,-0.0427565887
SRX3992199,-0.6799977878,0.2862257763
SRX3992202,0.4221647002,0.0006472643
SRX3992203,-0.11029949010000001,-0.1018378186
SRX3992204,-3.5749377216,-1.7155657138
SRX3992205,-3.6897491602,-1.2745888111
SRX3992206,-3.4233966447,-1.6751258722
SRX3992207,-3.2741312719,-1.2802250075
SRX3992209,-17.1544842545,0.7169613988
SRX3992208,-16.0623757038,0.6672607903000001
SRX3992212,-16.2800262738,0.7625990797000001
SRX3992213,-17.1875607892,0.6714788147
SRX3992210,-0.2274527242,0.1202863052
SRX3992211,0.2274527242,-0.1202863052
SRX357084,-0.1448256551,0.048317995700000005
SRX357083,0.1448256551,-0.048317995700000005
