,A,devR
SRX4615570,1.4914984562,-0.36385978210000003
SRX727246,0.840981873,0.3634587814
SRX727243,1.9940951981000001,0.33898709850000003
SRX727247,1.5341149695,-0.6423916065
SRX727244,1.2983715445000001,-0.9740935858
SRX727245,-0.8146411359,-0.2649986563
SRX727248,-0.1232722649,-0.4108100764
SRX727249,0.4010718244,0.0094555512
SRX727251,-0.1513884217,-0.0350245132
SRX727250,-0.2496834028,0.025568962100000002
SRX4498332,-0.975104897,-0.3531687188
SRX4498334,-0.5161726645,-0.1643062147
SRX4498335,-1.1696409064,-0.0077209489
SRX4498337,-1.3408494619,-0.38336598920000003
SRX4498324,0.2655294946,-0.0511124169
SRX4498326,0.2158273813,0.12296216210000001
SRX4498328,-0.5475194841000001,0.0548888498
SRX4498330,0.0661626082,-0.126738595
SRX4498336,0.5876025659,-0.0598443576
SRX4498333,0.7462648540000001,0.060670963700000004
SRX4498338,-0.2334059865,0.30435514
SRX4498329,1.063411342,-0.23463935230000002
SRX4498325,0.5626585164,-0.48822555110000004
SRX4498327,0.3005854519,-0.19485919140000002
SRX4498331,1.0117136486,-0.2242619321
