,A,Rv0135c,Rv1019
SRX4647494,0.3470715925,-0.11399769,-0.3825217563
SRX4647497,0.2239954287,0.0694898625,-0.1191121713
SRX4647498,0.32929861,0.0652198669,-0.0919127708
SRX4505482,1.2565787738,-0.25682489740000003,0.15266502040000002
SRX4505486,1.9552547573,-0.3165089658,0.1374109251
SRX4505484,1.9540867446,-0.2313809255,-0.2944483718
SRX4505473,2.2233464797,-0.2571793429,0.1015421308
SRX4505476,-0.18592050570000002,0.0795505737,-0.0428670213
SRX4505480,0.4192093471,-0.16542987850000002,0.0913474765
SRX4505478,-0.1914963536,-0.0952657075,0.10342811310000001
SRX4505474,-0.0417924879,0.18114501230000002,-0.15190856830000002
SRX4505483,-6.894816389,-0.6534237619000001,0.2522555788
SRX4505485,-6.7124806864,-0.5964604359,0.2440801009
SRX4505487,-7.0258881291,-0.7229643391,0.23410242490000002
SRX4505488,-7.1510218088,-0.6113935352000001,0.4596262553
SRX4505481,-6.8793729908,-0.8859220796,0.18537563540000002
SRX4505477,-6.4679016282,-0.8378020788,0.0689361403
SRX4505475,-7.0570667435,-0.7602880422,0.3028007669
SRX4505479,-6.3860394261,-0.6397282672,0.2926484626
SRX4605773,0.1149651329,0.0263688974,-0.021019314600000002
SRX4605774,-0.4218686361,-0.0278546523,0.0115020242
SRX4605772,-0.20971267670000002,-0.016082621800000002,0.0260974739
SRX4605771,0.20971267670000002,0.016082621800000002,-0.0260974739
SRX5178871,-0.40378903790000004,-0.0376522279,0.09896509490000001
SRX5178872,-0.45927345940000003,-0.0746575464,0.1578879201
SRX5178868,0.3209924739,-0.0135699018,0.1468727636
SRX5178870,0.0021583326,-0.0662182942,-0.0105938721
SRX5178869,-0.3231508065,0.079788196,-0.1362788916
ERX1404045,0.0639396748,-0.130829591,0.0272233806
ERX1404046,-0.0639396748,0.130829591,-0.0272233806
ERX1404043,-0.06429196100000001,-0.0435419196,-0.0220763094
ERX1404044,0.9345214924,0.0105368132,0.0698810457
ERX237502,-5.0162469335,0.018511073000000003,-1.6891600987
ERX237505,-4.1461378498,0.0828761295,-0.6422898208000001
ERX237506,-5.3752388939,0.1134624117,-0.9753948158
ERX237500,-9.9559674645,0.0662171526,-1.2033820177
ERX237497,-11.2553226352,0.20577540060000002,-0.9768364671
ERX237499,-11.2781755218,0.1978788595,-0.3025975328
ERX237507,0.33368819580000003,0.0265253209,0.0375806353
ERX237496,0.045650185,0.049410345200000004,0.3487429092
ERX237504,-0.37933838080000004,-0.07593566610000001,-0.3863235446
ERX3772318,-0.9217998979,0.2360202704,-0.151265016
ERX3772320,-0.9159830854000001,0.1692325922,-0.10351885990000001
ERX3772319,-0.8051393599000001,0.1725573119,-0.0504366948
ERX3772321,0.4275624443,0.0396515504,-0.0712731028
ERX3772322,0.1609227557,-0.1926526379,-0.1098888536
ERX3772323,-0.5884851999,0.1530010874,0.18116195640000002
SRX4314262,0.5870643518,-0.271645733,0.1299760445
SRX4314263,0.10837875300000001,0.0120904989,-0.13863404070000002
SRX4314261,-0.6954431048,0.25955523410000003,0.0086579961
SRX4314265,-2.5515585149,-0.5087777009000001,-0.6304631758
SRX4314266,-2.7616966169,-0.0516329632,-0.3727256539
SRX4314264,-1.9529047427,-0.5128958415,-0.49719406650000003
SRX4314268,-0.5131973994,-0.2986791863,-0.6693022648
SRX4314267,-1.3899456519,-0.5200470858,-0.4662334275
SRX4314271,-0.9640630371000001,-0.49620271870000004,-0.41184766230000003
SRX4314272,-0.6623888032,-0.6993230048,-0.1614255839
SRX4314275,-1.4172483918,-0.7100156108,-0.4413855363
