,A,blaI
SRX4314261,-0.7819228930000001,0.1180778227
SRX4314265,-2.5320179017999997,-0.5332721523
SRX4314266,-3.083410149,-0.7347026235
SRX4314264,-2.9648102608,-0.48324598500000004
SRX4314268,-1.9947778378,-0.6791248382
SRX4314267,-2.3854396915000002,-0.66095748
SRX4314271,0.382480931,-0.4806617956
SRX4314272,-0.35689054800000003,-0.5030951877000001
SRX4314275,-0.6708723357,-0.7589554766000001
SRX4314274,0.0009921503000000001,-0.5717275306
SRX4314273,-0.8335658244,-0.8100430236
SRX4314278,-0.6604305633,-0.5847855211
SRX4314276,0.44193822580000003,-0.5700109283
SRX4314281,-0.5441984895,-0.5564506829
SRX4314279,-0.5113091204,-0.5463634335
SRX4314280,-0.8833692198,-0.5032707318
SRX4314284,-1.2924084423,-0.5305252035
SRX4314283,-0.509628563,0.0432699223
SRX4314282,-1.0183120379,-0.6687825258
SRX4314293,-1.3035648381,-0.42082873390000003
SRX4314292,1.6371742301,-0.4236119186
SRX4314291,0.3578745752,-0.6264298967
SRX4314297,2.1503939234000002,-0.1343507007
SRX4314298,1.8975455379000001,-0.2397618243
SRX4314299,3.4731887603000002,-0.0169995173
SRX4314302,4.1675849978,0.0261473271
SRX4314301,2.5049764725,-0.0763346068
SRX4314300,2.2861966605,-0.060082972400000004
SRX4314305,4.1954407655,0.1155579676
SRX4314304,2.47158365,0.3564614176
SRX4314303,2.2596373304,0.41244583290000003
SRX4314309,2.6134404777,-0.059490794400000005
SRX4314306,2.0499690250000002,0.2370539374
SRX4314308,2.8519728712,-0.015135540800000001
SRX4314307,1.577944516,0.14589949
SRX4314311,5.7202409787,-0.0721907696
SRX4314317,2.0137642055,-0.1208378115
SRX4314316,2.5521780294000003,-0.3043263039
SRX4314318,1.8974291342,0.15767968540000002
SRX4314319,2.6368498651,0.17162094890000001
SRX4314331,-1.1095898738,0.0209688578
SRX4314330,-1.4182903815,-0.0013313985
SRX4314332,-1.172340191,-0.1046533941
SRX4314335,-3.309624179,-0.20120408
SRX4314334,-3.1422870541,-0.0927925784
SRX4314333,-2.9640047442,-0.0806340314
SRX4314338,-3.9341045026,-0.25645888580000004
SRX4314336,-3.9542729534000003,-0.2679585406
SRX4314337,-3.6845897689,-0.1393248518
SRX4314339,-1.9729744092,-0.2541163531
SRX4314340,-2.5790100394,-0.1711196787
SRX4314341,-2.2010583232,-0.22481854810000002
SRX3686762,0.5043054903,-1.3033706374
SRX3686763,0.2031063251,-1.3828552349
SRX3686761,0.5544324221,-1.5720132678
SRX3686765,-1.0238502618,-0.5344825901
SRX3686769,-1.3983260787,-0.1422254253
SRX3686766,-0.7718522365,-0.19500033300000003
SRX3686768,-0.9319199530000001,-0.225238985
SRX3686764,-0.7442731013,-0.4923147177
SRX3686767,-0.6038108535,-0.1756352431
SRX3686788,-0.5027028523,-0.0289956263
SRX3686791,-0.5320639256,-0.0709839554
SRX3686792,0.5079212835,-0.049950434
SRX3686793,-1.1562627484,0.1124342609
SRX3686790,1.4123585818,0.1348387487
SRX3686789,0.27074966100000003,-0.09734299390000001
SRX3686829,1.4635661466,-0.7637759886000001
SRX3686830,2.011134306,-0.5977183857
SRX3686828,2.2400330987,-0.6852248474
SRX3686819,1.0729016474,-0.1777081259
SRX3686818,1.3931064642,-0.2460827984
SRX3686817,1.2574142048999999,-0.1989595297
SRX3686822,3.799852634,1.354968043
SRX3686820,3.1237728031,1.1231369425
SRX3686821,3.6038068995,1.2101284012
SRX3686743,1.4644859833,-1.3608583122
