sample,Rv2224d
SRX6923924,-2.8835433832
SRX6923925,-2.8835433832
SRX6923923,-2.8835433832
SRX6923922,-2.8835433832
SRX6923939,0.6694304621
SRX6923938,-0.6694304621
SRX6923936,0.8192797102
SRX6923937,-0.4489425817
SRX5509428,0.0763223393
SRX5509427,-0.0763223393
SRX1882560,-1.7286115240000002
SRX1882558,-1.8884007515999999
SRX1882559,-1.7443639907000001
SRX1882561,-2.2352245512
SRX1882563,-1.9722013436
SRX1882562,-2.5888233607
SRX1882565,-2.7683893348
SRX1882566,-3.0621631327
SRX1882564,-2.9013163257
SRX1882568,-2.2412578987
SRX1882567,-2.5469115899
SRX1882569,-2.6903162635999998
SRX1882555,0.049097977800000005
SRX1882557,-0.20460425810000002
SRX1882556,0.1555062803
SRX5088615,0.0843834385
SRX5088616,-0.8204623158000001
SRX6845150,2.4554440754
SRX6845149,3.1407490355
SRX6845151,0.9771795936000001
SRX6845152,0.565353471
SRX6845145,2.6951348553
SRX6845146,2.9715226951
SRX6845142,1.2899348473
SRX6845141,0.7225566541
SRX6845144,0.4684194504
SRX6845143,-0.4684194504
SRX5605051,0.0382960597
SRX5605045,-0.0382960597
SRX5605060,-0.7951636214000001
SRX5605059,-0.797578356
SRX2382017,-0.0584669284
SRX2382024,0.0584669284
SRX2382027,-0.0855794097
SRX2382029,0.3409232383
SRX2382217,-0.5485971663
SRX2382023,0.9753528216
SRX2382218,1.6993644042
SRX2382219,0.6113573586000001
SRX2382213,0.815229286
SRX2382019,0.40248407210000003
SRX2382214,1.4964607874
SRX2382215,1.9711154814
SRX2382020,3.2034699309
SRX2382216,3.4886907622
SRX2382022,-3.8950659662
SRX2382033,0.43260832650000003
SRX2382220,5.2040978983
SRX2382222,4.8908555845
SRX2382030,4.4989100557
SRX4506350,0.5969237472000001
SRX4506352,0.030673405
SRX4506354,-0.7228884338
SRX4506348,-0.3087363978
SRX4506346,-0.0066953826
SRX4506344,0.3154317803
SRX4506351,0.46294162660000004
SRX4506353,-0.2494051418
SRX4506355,-0.5233428236000001
SRX4506349,-0.7846706076000001
SRX4506345,-0.4983480623
SRX4506347,0.5441181289
SRX4514122,-0.0068353323
SRX4514124,1.0967270539
SRX4514126,0.209521497
SRX4514120,0.1622310398
SRX4514112,0.0566074551
SRX4514116,-0.0787804564
SRX4514118,0.6762715652
SRX4514114,-0.6540985638
SRX4514121,-0.0863062228
SRX4514125,0.1708471253
SRX4514127,0.0881983479
SRX4514123,0.48772962950000004
SRX4514115,-0.35508835450000004
SRX4514117,0.24496721000000002
SRX4514113,0.5821924473
SRX4514119,0.6333397739000001
SRX958308,-1.5747254380000002
SRX958306,-1.196299508
SRX958307,-2.4200697151
SRX958313,-0.1699752427
SRX958312,-0.1802350211
SRX958314,0.3502102639
SRX958320,-0.29527178190000003
SRX958318,-0.6263060612
SRX958319,0.361421152
SRX958323,0.8484650006000001
SRX958322,0.7136355901
SRX958321,0.8720179104
SRX958310,-0.4720434383
SRX958309,0.1404894157
SRX958311,-0.0262086827
SRX958317,0.4206990913
SRX958315,-0.5850960189000001
SRX958316,0.1705533756
SRX958324,-0.8193254983
SRX958325,-0.45857253480000004
SRX4498322,0.6417779776
SRX4498318,-3.6846990571
SRX4498320,1.0636357529
SRX4498316,-3.6846990571
SRX4498312,0.4661401824
SRX4498308,-0.1985025205
SRX4498314,-0.0308401331
SRX4498310,-0.2367975289
SRX4498319,-0.6786920844000001
SRX4498317,0.6552332392
SRX4498311,-0.1755423281
SRX4498315,-1.659903922
SRX4498309,-0.1093643836
SRX4498313,-0.6656846936
SRX4615568,0.0
SRX4615570,0.0
SRX727246,0.6735433975
SRX727243,0.5035479084
SRX727247,2.1722293008
SRX727244,1.2252491926
SRX727245,1.7822126931
SRX727248,-1.7457141209
SRX727249,-1.7457141209
SRX727251,1.2965308221
SRX727250,0.4491832989
SRX4498332,-1.6282764786000001
SRX4498334,-1.6282764786000001
SRX4498335,1.8647152381
SRX4498337,-1.6282764786000001
SRX4498324,-1.6282764786000001
SRX4498326,0.07743593680000001
SRX4498328,0.3485144591
SRX4498330,1.2023260827
SRX4498336,2.1311624435
SRX4498333,1.2550553897
SRX4498338,-1.6282764786000001
SRX4498329,1.3721032864
SRX4498325,-0.4143326614
SRX4498327,0.173462215
SRX4498331,1.3968929294999999
