,A,lsr2
SRX2923395,-2.0404130538,0.5537890038000001
SRX2923396,-2.9277071660000002,0.3544884558
SRX2923400,-6.2591493548,-0.3824783671
SRX2923401,-5.4866370053,-0.2521127273
SRX2923403,-9.6221900858,-0.9840368304
SRX2923402,-12.3928496937,-0.7663816236000001
SRX6853288,0.9155417362,0.1921482955
SRX6853287,-1.3795782252,-0.0694851659
SRX6853286,-1.1906955643,-0.41180452170000004
SRX6853284,0.0321454657,-0.1390375817
SRX6853285,1.5973647544,0.23139698660000002
SRX6853283,-1.62951022,-0.0923594049
SRX4319040,-2.8527478349,-0.0512292302
SRX4319041,1.7720665002,-0.0083771403
SRX4319039,1.0806813347,0.059606370500000005
SRX4314613,-0.5149363979,0.2801126799
SRX4314614,-2.8137714072,0.9654237856000001
SRX4314615,0.3198592503,0.38876502430000004
SRX4314632,4.2530889014,0.4844161018
SRX4314631,-3.7323118228,1.0523845494
SRX4314633,-1.6711949721,1.281744338
SRX4314622,0.14640866760000001,1.2786591328
SRX4314623,2.1842141575,0.8681726158
SRX4314624,4.7834824809,0.5808639862
SRX4314611,0.7194729239000001,0.0021365729
SRX4314610,-0.4189992373,-0.0382042445
SRX4314612,-0.3004736866,0.036067671600000004
SRX4314630,1.7649553873000001,0.4708446022
SRX4314628,1.0851502528,0.5388818742
SRX4314629,-2.8673133021,0.4280638872
SRX4314619,2.2507219234,0.4529823484
SRX4314621,4.9564967577,0.1589170982
SRX4314620,1.2513313114,0.3732856574
SRX7119390,0.2545180192,-0.006462711
SRX7119388,-0.2545180192,0.006462711
SRX7119386,-9.7914871127,-2.233039034
SRX7119385,-13.307298541,-1.9766944668000002
SRX7119387,-12.4387003104,-2.6375854199999997
SRX3746749,-12.5083960293,-0.9906423603000001
SRX3746748,-3.4689073801,-0.4593942225
SRX3746751,31.3321910584,1.5087274262
SRX3746750,14.1013161388,0.8692964284
SRX3746752,2.5996258404,0.21541772050000002
SRX3746753,23.2889163137,1.0647887789
SRX3746755,7.3596955621,0.2177090315
SRX3746754,-7.3596955621,-0.2177090315
SRX2345943,-0.388366828,-0.0389976831
SRX2345942,0.388366828,0.0389976831
SRX2345941,-7.3030667425,0.8555077389
SRX2345940,-11.0233286563,0.4300414456
SRX3992217,1.0217705971,0.0962636743
SRX3992216,1.0621743618,-0.3363341649
SRX3992214,3.2589477605,-0.41745318670000003
SRX3992215,0.9970395082000001,-0.7084801478
SRX3992221,-0.5624619861,-0.7562576139
SRX3992220,1.3144500471,-0.5229709865000001
SRX3992219,7.6176058186999995,1.180241689
SRX3992218,8.7948428535,1.2469580911
SRX3992201,8.2655296919,1.2031895695000001
SRX3992200,7.0166461206,1.3203309131
SRX3992198,1.2269266111000001,0.1407044969
SRX3992199,2.1186570702,-0.384978804
SRX3992202,0.7766781064,-0.2682524964
SRX3992203,0.3124279545,0.08527095750000001
SRX3992204,5.1560304073,-0.5880163053
SRX3992205,4.7536876323,-0.3889672098
SRX3992206,5.9737325826,-0.5512126646000001
SRX3992207,3.7411791315,-0.4354822615
SRX3992209,4.901538147,1.1782386528
SRX3992208,8.2616724493,1.1465970566
SRX3992212,5.71319684,1.0514700383
SRX3992213,4.8440647151,1.2389918877000001
SRX3992210,0.3544138504,-0.0999528365
SRX3992211,-0.3544138504,0.0999528365
SRX357084,-0.6801545539,-0.062391877400000004
SRX357083,0.6801545539,0.062391877400000004
SRX4647134,2.2859848771,0.008959313200000001
SRX4647137,0.4124506697,0.0544358195
SRX4647136,1.065084161,-0.024305824
SRX4647135,1.6489953096,0.0517674206
SRX4647139,-0.37218632560000003,0.0044006298
SRX4647141,0.0782938496,-0.0356801272
SRX4647140,0.7954619341,-0.0327205805
SRX4647138,-0.5015694582,0.06400007790000001
SRX4647128,-4.9677908359,0.3245064637
SRX4647127,-3.9532538955,0.2516134572
SRX4647129,-3.8675495119,0.3190959465
SRX4647126,-3.0786503673,0.26428960020000003
SRX4647133,-2.3552645835,-0.16379046590000002
SRX4647132,-1.5758012245000002,0.2312670333
SRX4647131,-2.9385867613,0.2408375328
SRX4647130,-0.9427094576,0.3695379059
SRX6923924,9.2533016403,-2.2293438281
SRX6923925,9.277531108,-2.0304878397
SRX6923923,9.2332992829,-2.6273393159
SRX6923922,10.4324225266,-1.7867626356000001
SRX6923939,0.0338907099,-0.0275242062
SRX6923938,-0.0338907099,0.0275242062
SRX6923936,-0.1606659574,-0.059122420200000005
SRX6923937,-0.11589778220000001,-0.2372437671
SRX5509428,0.254504244,0.0370693714
SRX5509427,-0.254504244,-0.0370693714
SRX1882560,8.1716414813,0.3949964964
SRX1882558,7.8227445137,0.48760412150000004
SRX1882559,7.3644763058,0.3742585492
SRX1882561,8.039565848,0.6684916126
SRX1882563,9.0538981956,0.7720248046
SRX1882562,8.7304951579,0.8026479867
SRX1882565,9.0604532248,0.8386350776
SRX1882566,9.6726833109,0.8954687193
SRX1882564,8.8399505955,0.9777746088
SRX1882568,8.1838023625,0.8711606391000001
SRX1882567,9.8497222116,1.0937838097
SRX1882569,10.8859709298,1.2150388275
SRX1882555,-0.5344711784,-0.0880574107
SRX1882557,0.8906669611,0.06522430060000001
SRX1882556,-0.3561957827,0.0228331101
SRX5088615,5.3839766269,-1.4058344987
SRX5088616,8.2403698944,-0.7765514851
SRX6845150,-9.8843414241,0.30880532990000004
SRX6845149,-11.212231745,-0.1079291507
SRX6845151,0.0737294435,-0.284127366
SRX6845152,-0.4367273345,-0.4985528343
SRX6845145,-7.1255044567,0.4004414523
SRX6845146,-8.8348362431,0.3535213195
SRX6845142,1.2956468304,0.1156813153
SRX6845141,1.9713083164,0.2734774607
SRX6845144,-1.0248793844,-0.0254186755
SRX6845143,1.0248793844,0.0254186755
SRX5605051,0.5928547820000001,-0.1375924036
SRX5605045,-0.5928547820000001,0.1375924036
SRX5605060,-4.7679642428,0.3500716285
SRX5605059,-0.7088307442,0.16531587650000001
SRX2382017,-0.1492433577,-0.1710949306
SRX2382024,0.1492433577,0.1710949306
SRX2382027,0.53322767,0.6405730433
SRX2382029,-0.315112121,0.9873558661
SRX2382217,1.3954043658,0.9436484464
SRX2382023,0.3267511018,0.8448818147
SRX2382218,-2.3751833806000002,-0.1579951728
SRX2382219,1.6447851432,0.13578236200000002
SRX2382213,0.040302903,1.1839232506
SRX2382019,-3.2413980448,1.6189559073000002
SRX2382214,3.6508398805,0.3303848462
SRX2382215,1.4867624887,0.7606820857000001
SRX2382020,3.9130369008,-0.4374538858
SRX2382216,6.7641436577,0.3577221702
SRX2382022,6.9733382165,0.4797936956
SRX2382033,7.1027617731,0.2900045057
SRX2382220,4.0536056384,-0.2442452052
SRX2382222,5.7647101033,0.4270421118
SRX2382030,6.3858127125,0.0919526767
SRX4506350,-0.8644705646,0.1745911893
SRX4506352,0.6690666266,-0.0485408131
SRX4506354,0.5860478467,-0.1787281252
SRX4506348,-0.6672644957,0.0549506749
SRX4506346,0.09933259400000001,0.0147791512
SRX4506344,0.5679319016000001,-0.0697298261
SRX4506351,1.3909323037,0.2579629061
SRX4506353,1.9741982924,0.2576454716
SRX4506355,1.5140119425,0.3533517902
SRX4506349,-1.0269156825,0.21900795520000002
SRX4506345,-1.1086268102,0.17486777650000002
SRX4506347,-3.1370682818,0.4430993449
SRX4514122,5.8083679351,-0.5633552826
SRX4514124,-1.483033271,0.4499902885
SRX4514126,-1.5760462792,0.3486800121
SRX4514120,3.5688195346000002,-0.5864059173
SRX4514112,2.6845731304,-0.5015024603
SRX4514116,-1.2078833862,0.33925117990000003
SRX4514118,-2.3100042064,0.5211955723
SRX4514114,0.8333144622,-0.3589442919
SRX4514121,6.102265643,-0.5842954260000001
SRX4514125,-1.4189806722,0.4448330441
SRX4514127,0.2770321631,0.40765377010000003
SRX4514123,4.7157295493,-0.4670536246
SRX4514115,3.0569380864,-0.40447336440000003
SRX4514117,-2.5310843052000003,0.5402685445000001
SRX4514113,2.0778666205,-0.4358510621
SRX4514119,-0.9187230609,0.5582982181
SRX958308,2.7669898340000003,-0.2545157736
SRX958306,0.6775716262,0.1319557559
SRX958307,1.9166059830000002,-0.48249891200000006
SRX958313,0.36192625780000004,0.1294459363
SRX958312,-0.7528409152000001,-0.0717296058
SRX958314,0.39091465740000003,-0.0577163304
SRX958320,-1.4661254893,-0.317632519
SRX958318,-0.6176914747000001,-1.1433225217
SRX958319,1.312349993,-0.5960878162000001
SRX958323,-2.2497121876,-0.2661767236
SRX958322,-4.4262806576,-0.45564973740000003
SRX958321,-2.5244778292,-0.772838688
SRX958310,1.6568943073,-0.0419549724
SRX958309,4.0928356573,0.3891766452
SRX958311,0.5148820885000001,-0.28114688060000004
SRX958317,0.414795171,0.9464059908
SRX958315,4.6476500398,1.0725528805
SRX958316,5.032819617,0.8211240579
SRX958324,9.094460512,0.9245527898
SRX958325,8.1055621771,0.6248797441
SRX4498322,1.7647836881,-0.0673980881
SRX4498318,3.0085646269,-0.0190539448
SRX4498320,0.3439076418,0.1325955998
SRX4498316,2.6657356117,0.047232786400000004
SRX4498312,1.5065025087000001,-0.136916818
SRX4498308,-0.6477490817,0.0336640901
SRX4498314,-1.258991248,0.0815316889
SRX4498310,0.40023782100000005,0.021721039
SRX4498319,-9.6109173721,1.154192803
SRX4498317,-8.3354043229,1.3970177787
SRX4498311,-4.3421906761999995,0.3060042569
