,A,kstR2
SRX5178870,-0.0266628299,0.1771839328
SRX5178869,0.2785293621,0.1601618772
ERX1404045,0.5486269547,-0.0039745431
ERX1404046,-0.5486269547,0.0039745431
ERX1404043,0.28510332310000003,0.059165772900000003
ERX1404044,0.020031612,-0.12282622430000001
ERX237502,-2.4124031811,-0.9361984081
ERX237505,-1.2474183089,-0.9383809803000001
ERX237506,-2.3080430346,-0.9323850645
ERX237500,-3.1158480173,-1.5601893085
ERX237497,-4.8913020695,-1.1655751966
ERX237499,-3.930389515,-0.48898285410000003
ERX237507,-0.1673851856,0.1078345051
ERX237496,0.41678310630000004,0.0190447699
ERX237504,-0.2493979207,-0.126879275
ERX3772318,-0.38378312070000004,-0.2554309141
ERX3772320,-0.6541792124,-0.2728854881
ERX3772319,-0.183104983,-0.2330114634
ERX3772321,-0.005614009200000001,-0.026024218800000002
ERX3772322,0.26127518,-0.025980062800000002
ERX3772323,-0.2556611708,0.0520042817
SRX4314262,-0.32430540150000003,-0.0848866025
SRX4314263,0.2174784424,-0.1437540928
SRX4314261,0.10682695910000001,0.22864069520000002
SRX4314265,-1.2856045299,0.5294134872
SRX4314266,-0.9931571918000001,0.0964211688
SRX4314264,-0.779903875,0.8040425462
SRX4314268,-0.6803344698,0.7045913146
SRX4314267,-0.4352734908,0.39781142540000003
SRX4314271,1.2398025008,0.7669718084
SRX4314272,0.6274977454,0.4107835889
SRX4314275,0.5313501165,0.7673191492
SRX4314274,0.3435857808,0.5938340638
SRX4314273,0.8401166124,0.4447700162
SRX4314278,-0.37463257440000003,0.378751698
SRX4314276,-0.0478732367,0.33610556080000004
SRX4314281,-0.9615261934,0.1327400292
SRX4314279,-0.6647906303000001,0.3333462727
SRX4314280,-0.4233157366,0.4509379396
SRX4314284,-1.8332310864,-0.0110656508
SRX4314283,1.0532611143,0.5431766775
SRX4314282,0.312037092,0.1577287607
SRX4314293,-3.543912806,-0.1875546482
SRX4314292,-1.1453694344,-0.24360211850000002
SRX4314291,-1.8017418433999999,-0.2725060255
SRX4314297,0.0283478518,-0.12046357710000001
SRX4314298,0.9994641789,0.2446702274
SRX4314299,-2.8760479689,-0.9833377809
SRX4314302,-1.6011033142,-0.6108198252
SRX4314301,2.8690014121000003,0.7482191184
SRX4314300,1.2738452039000001,0.413948794
SRX4314305,1.6702612062000002,0.3218180264
SRX4314304,6.114808844,1.2894473476
SRX4314303,5.3446367492,1.2345515613
SRX4314309,7.5389013776,1.3523620758
SRX4314306,6.7966741501,1.2615995738999999
SRX4314308,1.8627529401,0.6276664
SRX4314307,7.1791594644,1.2593175933
SRX4314311,2.1626436369,0.43703223750000003
SRX4314317,1.6162993876,0.3932293986
SRX4314316,2.970235572,0.3307321344
SRX4314318,2.4674880689,0.3792208681
SRX4314319,1.4271249178,0.0613474634
SRX4314331,-5.3138782912,-0.4738301092
SRX4314330,-4.4256076442,-0.4357213827
SRX4314332,-4.013712071,-0.5384701731
SRX4314335,-6.7448199523,-0.7268341882
