,A,devR
SRX4319040,0.0206397528,-0.019823302600000002
SRX4319041,0.12854102250000002,-0.0796453468
SRX4319039,-0.1491807753,0.0994686494
SRX4314613,-4.3164761036,-0.6979139706
SRX4314614,-2.5393654948,-0.7747228930000001
SRX4314615,6.799118004,-0.32833066850000003
SRX4314632,1.7604284017,-0.4427268132
SRX4314631,13.4787096939,0.13846769820000002
SRX4314633,2.2048249934,-0.5300304905000001
SRX4314622,9.520628758,0.0090766978
SRX4314623,12.050884233,0.11018949980000001
SRX4314624,12.7912473761,0.2768762154
SRX4314611,-0.2357967752,-0.0919463372
SRX4314610,-1.3064651698,-0.0387089002
SRX4314612,1.542261945,0.1306552374
SRX4314630,-2.6081659126,-0.2353013334
SRX4314628,-2.9008538765000003,-0.056133766200000004
SRX4314629,-2.715564076,-0.1754081785
SRX4314619,-0.9201627902,-0.051761064100000004
SRX4314621,0.8951041011,-0.1615035069
SRX4314620,0.0050052566,-0.123175246
SRX7119390,0.35273147720000003,0.1342611121
SRX7119388,-0.35273147720000003,-0.1342611121
SRX7119386,11.8285499723,1.1207783443000001
SRX7119385,14.3673533955,1.700720702
SRX7119387,15.3914848372,1.9001802289
SRX3746749,-4.5190849371,0.522667006
SRX3746748,-4.4645683259,0.6361528782
SRX3746751,-1.6007986544000001,0.11470623790000001
SRX3746750,-2.2014070095,-0.1321311814
SRX3746752,0.5637391247,0.0386193236
SRX3746753,-0.038068337,-0.0893500269
SRX3746755,0.3233864137,-0.052604413
SRX3746754,-0.3233864137,0.052604413
SRX2345943,-0.6706498318,-0.1794259233
SRX2345942,0.6706498318,0.1794259233
SRX2345941,-2.1254835653,-1.0320510784
SRX2345940,-3.7016530553,-0.9554665842000001
SRX3992217,-0.48893269040000004,0.0955590883
SRX3992216,-1.1088758329,-0.1665598379
SRX3992214,8.2330830705,0.09743502600000001
SRX3992215,8.9424293698,0.5997303597
SRX3992221,6.4761682252,0.7731742597
SRX3992220,8.180563994,0.1454862847
SRX3992219,1.4567690052,-0.1485951788
SRX3992218,1.0733483369,-0.7674736157000001
SRX3992201,0.7596693398000001,-0.8807653701
SRX3992200,1.3739642356,-0.24834948410000002
SRX3992198,-0.2093338531,-0.0295468444
SRX3992199,-0.6304800748,-0.28641534150000003
SRX3992202,-0.0128383544,-0.0290328308
SRX3992203,0.4806501493,0.1130482532
SRX3992204,11.5137288767,0.1200375092
SRX3992205,10.0300873386,0.35205609
SRX3992206,10.2776860738,0.1914684328
SRX3992207,9.5837335885,0.2866999585
SRX3992209,-0.5946172247,-0.0507627198
SRX3992208,-1.3374672333,-0.2806922631
SRX3992212,-0.4550322204,-0.2536103554
SRX3992213,0.107275538,0.012082868600000001
SRX3992210,-0.3008884602,-0.1363703749
SRX3992211,0.3008884602,0.1363703749
SRX357084,-0.35483164970000003,0.0113203755
SRX357083,0.35483164970000003,-0.0113203755
SRX4647134,0.5282439018,0.3234100599
SRX4647137,-0.1749135272,-0.056256904100000005
SRX4647136,0.32760316770000003,0.13481136430000001
SRX4647135,0.127019608,0.2247545393
SRX4647139,-0.019311507500000002,-0.017043367
SRX4647141,0.0802578164,0.0403144608
SRX4647140,0.2908233415,-0.0468800538
SRX4647138,-0.3517696504,0.0236089599
SRX4647128,1.1240326904,0.23876339770000002
SRX4647127,1.7704284704000002,0.1807499103
SRX4647129,0.6459322973,0.1734407073
SRX4647126,1.328493771,0.20324796950000001
SRX4647133,4.4238580528,0.4709122438
SRX4647132,3.7813669659,0.5493546725
SRX4647131,3.7654054164,0.4017360075
SRX4647130,3.0010686544,0.3365465481
SRX6923924,0.4504240983,-0.2547688946
SRX6923925,-1.2502092424,-0.21391860070000002
SRX6923923,-0.5327554282,-0.7049837097
SRX6923922,-1.1953041977,-1.7395633825
SRX6923939,-0.5402634302,0.0835695878
SRX6923938,0.5402634302,-0.0835695878
SRX6923936,-1.4902016692,0.07192021550000001
SRX6923937,-1.306105114,0.2341505433
SRX5509428,-0.0932995063,0.0512163671
SRX5509427,0.0932995063,-0.0512163671
SRX1882560,-19.517275005,-1.2887913826
SRX1882558,-19.679416415,-1.3368454954
SRX1882559,-19.7167998249,-1.3089289093
SRX1882561,-20.5665261101,-1.5475362612999999
SRX1882563,-21.479965785,-1.5657054494
SRX1882562,-21.3072800403,-1.5712549189
SRX1882565,-11.0753563569,-0.4279539948
SRX1882566,-11.1528809324,-0.5901875616000001
SRX1882564,-11.0745896407,-0.4716643626
SRX1882568,-9.5894612201,-0.3819819967
SRX1882567,-9.8454778847,-0.4341265747
SRX1882569,-9.2283991638,-0.5453644987
SRX1882555,-0.0002676126,0.0051834512000000004
SRX1882557,0.0023778671,0.0709453876
SRX1882556,-0.0021102545,-0.0761288388
SRX5088615,11.1125438062,0.757201091
SRX5088616,17.0411916866,1.3911764070000001
SRX6845150,10.094474175,-0.6399403486
SRX6845149,9.7299627262,-0.2694598264
SRX6845151,3.8249663415,-0.1380828091
SRX6845152,8.793862513,0.1648298779
SRX6845145,18.7343106315,-0.5445185097
SRX6845146,9.0248991979,-1.0700151343
SRX6845142,5.096466378,-0.8805526376
SRX6845141,1.6105764946,-0.8814671597
SRX6845144,1.4937143628,0.2960239752
SRX6845143,-1.4937143628,-0.2960239752
SRX5605051,-0.3212489411,-0.1632820748
SRX5605045,0.3212489411,0.1632820748
SRX5605060,0.3091820529,-0.43970198380000003
SRX5605059,0.8347961561,-0.5488563442000001
SRX2382017,3.5868101082,0.4031240856
