,A,Rv2621c
SRX3686828,-5.7078253428,-0.3560862993
SRX3686819,-7.8726564515,-0.4156569801
SRX3686818,-7.6380596266000005,-0.1679233387
SRX3686817,-8.1332380964,-0.4023163772
SRX3686822,-6.0912450485,1.2933918985
SRX3686820,-6.6680025683,1.3482078767
SRX3686821,-5.8889900607,1.5422495465
SRX3686743,-4.8565135437,-0.1595213775
SRX3686744,-4.9894604102,-0.4929784962
SRX3686745,-4.9043358945,-0.0841327604
SRX3686772,-4.3263607508,-1.4950775298
SRX3686770,-4.262693361,-1.2679723587
SRX3686771,-3.9462338352,-1.6394159818
SRX3686794,-5.2689932324,-1.4308511327
SRX3686796,-5.5719764027,-0.3514065099
SRX3686751,-4.9210500023,-0.6338795085000001
SRX3686749,-4.7979733507,-0.4199527502
SRX3686750,-4.9691260507,-0.5594939114
SRX3686778,-4.6531651479,-0.8583952515000001
SRX3686777,-4.6391170307,-0.9651030132
SRX3686776,-4.6979201976,-1.2190825958
SRX3686800,-5.8792862716,-0.4108992234
SRX3686801,-5.5794674146,-0.4023607041
SRX3686755,-4.7950054897,-0.3176788126
SRX3686757,-5.8265511576,-0.7678570866000001
SRX3686756,-5.155592873,-0.6549534336
SRX3686784,-4.5850032422,-1.2557455646
SRX3686783,-4.4538402826,-1.2672097029
SRX3686782,-4.7099680246,-0.9560278786
SRX3686809,-5.3866583766,-0.11045007720000001
SRX3686807,-5.7504125631,-0.1912438494
SRX3686808,-5.6990509572,-0.32407126
SRX3686787,-2.4275665017,-0.1455777651
SRX3686786,-2.343976796,-0.1218589152
SRX3686785,-1.9542136155,-0.17682849890000002
SRX3686799,-4.8514108541,-0.0176174204
SRX3686797,-5.3939425882,-0.1103999499
SRX3686798,-5.4622388428,-0.0851010631
SRX3686746,-3.6646223684,-0.0648138082
SRX3686748,-4.2001135654,0.0107141622
SRX3686747,-4.1894262246,-0.2314961308
SRX3686773,-3.7475696789,-1.0514082198
SRX3686774,-3.4151701296,-1.0487445697
SRX3686775,-3.1598701098,-0.9699444836000001
SRX3686754,-3.3673609582,0.0508142025
SRX3686753,-3.444423828,-0.1748002598
SRX3686752,-2.8288297024,0.0378333622
SRX3686780,-3.5183604024,-0.39349212510000003
SRX3686779,-3.3865881724999998,-0.4255154718
SRX3686781,-4.0705375777,-0.5056554718
SRX3686806,-4.7202516827,0.0768963505
SRX3686805,-5.079712547,0.1400892337
SRX3686758,-1.2316469372,0.1802348469
SRX3686760,-1.7704508946000002,0.3255013841
SRX3686759,-0.8372395148,0.33281913020000004
SRX3686810,-3.9605780712,0.8732382486
SRX3686811,-3.9733727249,0.333119753
SRX3686812,-4.3081683082,0.35271271
SRX3686813,-4.8487853585,-1.1960772394
SRX3686815,-3.8389308455,1.2024038443
SRX3686816,-4.1349782009,0.8643641543
SRX3686823,-5.1072029296,-1.2453476457
SRX3686824,-5.0117984973,-0.9849661779000001
SRX3686825,-3.28487632,-0.3308464504
SRX3686827,-2.8139247079,0.7854791918
