,A,Rv1776c,whiB4
SRX4647146,0.0178754699,0.12801730220000002,0.25885207920000003
SRX4647147,0.0539707533,-0.0837701109,0.1916022127
SRX4647144,-0.0945131134,0.0195836039,-0.0333145381
SRX4647143,0.1858561507,-0.0981726764,0.0341165381
SRX4647142,-0.0913430373,0.07858907250000001,-0.000802
SRX4647155,8.0719829996,0.10074844690000001,-0.18779066290000002
SRX4647152,8.2406647593,-0.0015283086000000001,-0.26227963730000003
SRX4647153,8.1745746889,-0.1429348896,-0.1795792009
SRX4647154,8.0528768746,0.14791027980000002,-0.0649672062
SRX4647148,3.0866033802,0.0897851925,0.0129176264
SRX4647149,3.1184238345,0.0671706286,0.0406213722
SRX4647151,3.1328108792,0.1460043212,0.045493569000000005
SRX4647150,3.3196112713,0.0177827197,-0.0223102757
SRX4647123,-0.0472557693,0.059156135900000004,-0.0769830463
SRX4647124,0.0810302391,0.1120748404,0.0538248528
SRX4647125,-0.0337744698,-0.1712309763,0.0231581935
SRX3103185,0.7456448672,-0.29300496330000003,0.11127277390000001
SRX3103189,0.6996407597000001,0.16211382570000002,0.256080686
SRX3103187,1.224396968,-0.047425860300000004,-0.09737164520000001
SRX3103184,-0.9135111573,-0.1468143659,-0.1083070264
SRX3103188,-0.7486152133,0.33917909420000003,0.1481063719
SRX3103186,1.6621263705,-0.19236472840000002,-0.0397993455
SRX1372110,-2.8970340613000003,-0.31143683780000003,0.2966122858
SRX1372111,-3.3826110469,-0.38428604320000004,0.1194533747
SRX1372108,-0.7792421708,-0.1720496736,-0.1665335362
SRX1372109,0.7792421708,0.1720496736,0.1665335362
SRX4506085,-0.4618735043,0.041250966,0.1854338778
SRX4506083,-0.5292408892,0.0335855896,0.1717509632
SRX4506089,-0.48884690500000005,0.103395868,0.0650451508
SRX4506087,-0.49878538,-0.1419576053,0.0189393448
SRX4506077,0.1810353717,-0.18720443380000001,0.0272742646
SRX4506079,0.0440170594,0.062120804,-0.0715417067
SRX4506075,-0.1279766148,0.07980544290000001,0.0908714042
SRX4506081,-0.0970758163,0.0452781869,-0.0466039621
SRX4506084,0.8429677908000001,-0.0819481554,0.28739369670000003
SRX4506086,0.9830697468,0.018450353000000003,0.2974874265
SRX4506088,0.8381551729000001,0.0322808469,0.2851937748
SRX4506090,0.9090976202000001,-0.0037805284,0.0572041297
SRX4506078,2.9103371031,-0.1759811139,-0.056758668500000005
SRX4506080,2.8180214718,-0.16964354580000002,0.0092934622
SRX4506082,3.2667024888,-0.0421869104,0.05207615
SRX4506076,2.8688544222,-0.08423556730000001,-0.0064268647
SRX5352221,-0.09104013080000001,-0.8495240304,-0.6225413434
SRX5352223,-0.09822816670000001,-0.4693351177,-0.7724139044
SRX5352222,-0.1613561933,-0.6408445862000001,-0.41645212200000004
SRX5352229,-2.78281238,0.1042388291,0.5072878209
SRX5352227,-2.969647073,0.5174896317000001,0.4572301662
SRX5352228,-3.0163360088,0.41962352150000004,0.3378645111
SRX5352231,3.1012073341,-4.0053163404,-2.4702638193
SRX5352232,3.3729327843,-2.2296443544,-2.4250774222
SRX5352230,2.5106827215000003,-2.9452259911,-2.8338575925000002
SRX5352225,1.21514211,-1.7463218736,-0.062160549600000004
SRX5352224,0.5226238403,-1.6770244551,0.3353559468
SRX5352226,-0.2913983633,-0.0718540724,0.1277133465
SRX5352220,-0.1097949998,0.0570738832,-0.0662699514
SRX5352219,-0.0085125326,0.0138185861,-0.071651585
SRX5352218,0.1183075323,-0.0708924692,0.13792153640000002
SRX4498228,-0.23675635550000002,0.08614600060000001,0.075827103
SRX4498224,-0.6197552279,0.2434488505,0.0646355044
SRX4498230,-0.4443317424,-0.06966799530000001,-0.08029876700000001
SRX4498226,-0.0940720876,0.0698418314,-0.1146688486
SRX4498218,0.0761134895,0.0754125252,-0.0414040303
SRX4498216,-0.13115286210000002,-0.0454871437,0.0633128745
SRX4498220,0.057807881000000005,-0.095298147,-0.0724113947
SRX4498222,-0.0027685084,0.0653727654,0.0505025505
SRX4498225,-1.9828925604,-0.316152841,0.6052197221
SRX4498227,-1.7693759221,-0.24239654800000002,0.7463306322000001
SRX4498231,-1.7769152814,-0.47751799400000006,0.5703155824
SRX4498229,-1.7239338524,-0.3322486304,0.6025915908
SRX4498217,-1.8644589822,-0.2552277167,0.5124056387
SRX4498221,-1.7035000116,-0.4599045003,0.5444533989
SRX4498219,-1.9470353902,-0.32509841980000004,0.4676572855
SRX4498223,-2.098120945,-0.4055842085,0.5145138915
SRX5079928,1.0095872534,0.4978870201,-1.094094688
SRX5079930,1.8589842609,0.3745391058,-1.0987230935
SRX5079929,2.3720076247,0.5264757863,-1.0532563227
SRX5079923,0.0509266645,0.43575609,-0.4531397941
SRX5079924,0.1700726422,0.38031527530000003,-0.41776176260000003
SRX5079922,1.0411227773,0.5936066595,-0.561672315
SRX5079920,-0.1281699809,0.10465970720000001,0.0803928126
SRX5079921,-0.4185413181,-0.2901770769,-0.0609508543
SRX5079919,0.546711299,0.18551736970000002,-0.0194419583
SRX5079926,1.0842597105,0.263182764,-0.9949990028000001
SRX5079925,2.5698282106,0.2337267369,-0.9943848033
SRX5079927,1.1523818527,0.7291542253000001,-1.0952559045
SRX894005,4.4592778091,1.2388941324,-0.030079801700000002
SRX894004,3.242709718,1.7601127542000001,-0.4051112448
SRX894006,3.251705185,1.8461411025,-0.49478950660000004
SRX893999,0.0809701162,-0.0664281753,0.2566252958
SRX894000,0.18570639090000002,0.044226101000000004,-0.0745679387
SRX893998,-0.2666765071,0.0222020744,-0.182057357
SRX4647489,-0.1790556811,0.11461196280000001,0.0356517081
SRX4647490,0.1790556811,-0.11461196280000001,-0.0356517081
SRX4647492,0.2403407917,0.1405029974,-0.0204975814
SRX4647491,0.35272769870000004,0.0096979265,-0.0751349744
SRX4647496,-0.5346049773,0.1746015557,0.23050143320000002
SRX4647495,0.1166620238,0.2152830067,0.0739877109
SRX4647499,0.8379430160000001,0.0201381952,-0.1385207252
SRX4647500,0.9077081556000001,0.09307297440000001,0.05614519900000001
SRX4647493,0.4126393956,0.319720809,-0.2281790809
SRX4647494,0.3815720656,0.40505564930000004,-0.0188038167
SRX4647497,0.2086813466,-0.1234182244,-0.1208677216
SRX4647498,0.29558111600000003,0.3631162368,0.1737333073
SRX4505482,0.2368449068,0.009915543300000001,0.0685207348
SRX4505486,0.4748019073,0.0003678119,-0.22565921900000002
SRX4505484,0.27054929510000003,0.1698133647,-0.1721913593
SRX4505473,0.4672400859,-0.0817124059,-0.2530045774
SRX4505476,-0.1980563756,0.0193411258,-0.0030708536
SRX4505480,0.1568712998,0.0871781736,-0.1849241919
SRX4505478,-0.21025111170000002,-0.0706565262,0.0864470425
SRX4505474,0.2514361875,-0.0358627731,0.1015480029
SRX4505483,2.8870572272,0.0059837813,-0.38158138750000004
SRX4505485,2.9578683171,-0.0350163319,-0.32862970900000005
SRX4505487,2.6589906869,0.060925914000000005,-0.2990573307
SRX4505488,3.0650992544,-0.1024214982,-0.4314785464
SRX4505481,0.7611552321,0.0147135693,-0.4439247154
SRX4505477,1.2080153423,0.0923537525,-0.5194503488000001
SRX4505475,1.0555067365,0.035154346600000004,-0.7482583888000001
SRX4505479,1.2790372551,0.0573877023,-0.46262671720000004
SRX4605773,0.0179968472,-0.09700347220000001,0.0297425734
SRX4605774,0.2885082926,0.133267884,-0.0234107872
SRX4605772,0.12120469360000001,-0.0038873849,0.014691560800000001
SRX4605771,-0.12120469360000001,0.0038873849,-0.014691560800000001
SRX5178871,0.3419041682,-0.0736796663,0.1949827228
SRX5178872,0.7131373636,0.2367116655,-0.0632520911
SRX5178868,0.170768508,0.24466415160000002,0.2607521937
SRX5178870,-0.3614632119,-0.1960137901,-0.1938064286
