	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX2382027	9462080	5998369	504381	266701	0	0	0	0	295841	0	0	0	0	1491380	476200	429208	63.39376754371132	9462080.0	9195379.0	97.18	266701.0	2.82	SRX2382027_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9462080.0	0.0	18-25	64.0	59.87195397487679	24.600560764652172	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	9982693	2548972	9982693	249567325	6689111	239355104	4.091970373124767			0.4094	0.0645	0.5262
SRX2382028	1823485	987480	261790	84897	0	0	0	0	23248	0	0	0	0	351883	59517	54670	54.153447930747994	1823485.0	1738588.0	95.34	84897.0	4.66	SRX2382028_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1823485.0	0.0	20-25	61.0	69.92790275084647	24.58788967279687	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass	2246819	522260	2246819	56170475	6647163	48744754	13.219971880244913			0.3746	0.1218	0.5036
SRX2382029	4398903	2752846	381094	122818	0	0	0	0	73996	0	0	0	0	681215	203576	183358	62.58028422086142	4398903.0	4276085.0	97.21	122818.0	2.79	SRX2382029_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4398903.0	0.0	18-25	64.0	64.24385601955315	24.605587347572797	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	4600972	1172239	4600972	115024300	2459877	110948377	3.543532105824596			0.3788	0.0995	0.5217
SRX2382030	6407477	2989406	308797	257129	0	0	0	0	222716	0	0	0	0	2314662	181768	132999	46.65496263193766	6407477.0	6150348.0	95.99	257129.0	4.01	SRX2382030_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6407477.0	0.0	20-25	63.0	60.56933805061161	24.56268574978888	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	9088445	2014921	9088445	227211125	42065684	181949095	19.920692703757354			0.4214	0.155	0.4236
SRX2382031	5159994	2352962	196339	256522	0	0	0	0	173298	0	0	0	0	1948226	131715	100932	45.60009178305246	5159994.0	4903472.0	95.03	256522.0	4.97	SRX2382031_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5159994.0	0.0	20-25	63.0	63.847897837888354	24.571014617458854	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass	6811679	1497454	6811679	170291975	26030840	141936252	16.651238556602564			0.3196	0.1292	0.5511
SRX2382032	7716392	4680095	700637	188155	0	0	0	0	103262	0	0	0	0	1387491	275436	381316	60.65133808650468	7716392.0	7528237.0	97.56	188155.0	2.44	SRX2382032_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7716392.0	0.0	20-25	64.0	58.98261450379514	24.691218123703408	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	8118746	1812549	8118746	202968650	6519544	193922040	4.4571464607957925			0.3934	0.0551	0.5515
SRX2382033	1844418	1017819	184208	71794	0	0	0	0	43314	0	0	0	0	406865	64711	55707	55.18374902001607	1844418.0	1772624.0	96.11	71794.0	3.89	SRX2382033_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1844418.0	0.0	20-25	64.0	62.440840894262074	24.62565589795805	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass	2296642	528900	2296642	57416050	7437558	49229665	14.258007996022018			0.3212	0.1214	0.5574
SRX2382213	6651277	4150386	595799	174675	0	0	0	0	117551	0	0	0	0	1017506	246852	348508	62.39983690349988	6651277.0	6476602.0	97.37	174675.0	2.63	SRX2382213_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6651277.0	0.0	20-25	64.0	59.616079298105575	24.690514317776877	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	6982798	1563934	6982798	174569950	5160853	167237346	4.200381566243216			0.3855	0.0529	0.5616
SRX2382214	3751779	1801535	565463	227078	0	0	0	0	116993	0	0	0	0	839462	111059	90189	48.01815352130282	3751779.0	3524701.0	93.95	227078.0	6.05	SRX2382214_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3751779.0	0.0	20-25	62.0	59.47255487323442	24.60078325509045	pass	pass		pass	fail	fail	pass	warn	warn	warn	pass	4628146	1175001	4628146	115703650	12987790	101083743	12.635648918595047			0.3569	0.1609	0.4822
SRX2382215	3565885	2121205	301584	218433	0	0	0	0	46443	0	0	0	0	631403	156017	90800	59.486074284504404	3565885.0	3347452.0	93.87	218433.0	6.13	SRX2382215_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3565885.0	0.0	18-25	64.0	59.75097875420553	24.5549267573127	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass	4313077	1629166	4313077	107826925	14019191	91682142	14.972867862085467			0.35100000000000003	0.1459	0.5031
