	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX5178869	9268565	1703970	6094174	179755	0	0	0	0	7962	0	0	0	0	1166531	109413	6760	18.384399311004454	9268565.0	9088810.0	98.06	179755.0	1.94	SRX5178869_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9268565.0	0.0	20-100	59.0	14.963360764538875	97.19399626587288	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9311359	2625322	9311359	931135900	19964584	903941167	2.920597627048855			0.1544	0.4281	0.4175
SRX5178870	9115323	1815773	5597311	205637	0	0	0	0	8094	0	0	0	0	1362886	118061	7561	19.92000722300241	9115323.0	8909686.0	97.74	205637.0	2.26	SRX5178870_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9115323.0	0.0	20-100	60.0	16.213482478868233	97.25670829218012	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	9161827	2611452	9161827	916182700	16744355	891085522	2.7393202251035738			0.1736	0.4194	0.4069
SRX5178871	8218089	1501726	5393997	223143	0	0	0	0	8803	0	0	0	0	975260	108032	7128	18.273420986314463	8218089.0	7994946.0	97.28	223143.0	2.72	SRX5178871_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8218089.0	0.0	20-100	59.0	16.532975543113658	97.36095995066492	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	8262136	2281974	8262136	826213600	19442706	800744660	3.082609630245738			0.1593	0.425	0.4157
SRX5178872	6838081	1582795	3812195	323780	0	0	0	0	7781	0	0	0	0	1006166	97584	7780	23.1467717331807	6838081.0	6514301.0	95.27	323780.0	4.73	SRX5178872_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6838081.0	0.0	20-100	60.0	20.575317219001885	97.15528464784201	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6865080	1785630	6865080	686508000	16101408	666630096	2.8955094478141548			0.2001	0.4033	0.3967
SRX5178873	7636985	428296	1332617	5642087	0	0	0	0	1668	0	0	0	0	206210	24806	1301	5.60818176282918	7636985.0	1994898.0	26.12	5642087.0	73.88	SRX5178873_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7636985.0	0.0	20-100	61.0	30.866335686477903	96.78858554783072	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	7674963	2012545	7674963	767496300	15903990	746429547	2.7448670436587124			0.1764	0.4071	0.4165
SRX5352218	8618633	5743250	41165	422982	0	0	0	0	48920	0	0	0	0	2050052	292638	19626	66.63759786499784	8618633.0	8195651.0	95.09	422982.0	4.91	SRX5352218_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8618633.0	0.0	20-76	65.0	36.619002070820585	73.99039174774005	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	8630138	2660954	8630138	651551689	1423782	643323112	1.2629200628163824			0.5285	0.0452	0.4263
SRX5352219	8016070	5453016	44366	438473	0	0	0	0	17820	0	0	0	0	1761078	280563	20754	68.02605266670575	8016070.0	7577597.0	94.53	438473.0	5.47	SRX5352219_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8016070.0	0.0	20-76	65.0	37.2548175946972	74.2002023435424	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	8031406	2381133	8031406	606367843	1398792	600555637	0.9585280728681386			0.5207	0.0443	0.435
SRX5352220	7021998	4697165	93463	430916	0	0	0	0	18559	0	0	0	0	1516875	242864	22156	66.89214380294611	7021998.0	6591082.0	93.86	430916.0	6.14	SRX5352220_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7021998.0	0.0	20-76	65.0	40.62092674071597	74.30706901369099	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	7036636	2258017	7036636	531442662	2535234	524767001	1.2561394628871552			0.5168	0.042	0.4412
SRX5352221	17405760	2186286	2490141	11438493	0	0	0	0	154139	0	0	0	0	1021718	104536	10447	12.560704042799625	17405760.0	5967267.0	34.28	11438493.0	65.72	SRX5352221_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17405760.0	0.0	20-76	56.0	30.737369278702413	74.07181806482451	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	17442521	5458639	17442521	1321209397	3444905	1298129511	1.7468757073940189			0.27	0.0469	0.6831
SRX5352222	14988291	2908350	1808695	8484019	0	0	0	0	141735	0	0	0	0	1493527	139963	12002	19.404146877052227	14988291.0	6504272.0	43.4	8484019.0	56.6	SRX5352222_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14988291.0	0.0	20-76	58.0	33.00238855283244	74.16806746012605	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	15023802	4453180	15023802	1137962251	3283418	1118567580	1.7043334243255142			0.3379	0.0471	0.615
SRX5352223	11712812	4470137	748150	4010787	0	0	0	0	202414	0	0	0	0	2056737	205338	19249	38.16450737875755	11712812.0	7702025.0	65.76	4010787.0	34.24	SRX5352223_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11712812.0	0.0	20-76	62.0	49.62005123662932	73.77190293842331	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	11759808	3655215	11759808	892936438	7432672	866092183	3.0062895697397893			0.4326	0.0509	0.5165
SRX5352224	2099193	1156069	1974	220973	0	0	0	0	4587	0	0	0	0	654423	56417	4750	55.07206817095904	2099193.0	1878220.0	89.47	220973.0	10.53	SRX5352224_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2099193.0	0.0	20-76	65.0	61.638720339122685	74.87697319874826	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	2102131	498599	2102131	159761956	1394784	157448235	1.4482302657836763			0.5888	0.0382	0.373
SRX5352225	2212750	1206592	2936	219688	0	0	0	0	5870	0	0	0	0	712895	59444	5325	54.52907016156367	2212750.0	1993062.0	90.07	219688.0	9.93	SRX5352225_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2212750.0	0.0	20-76	65.0	59.29520535109495	74.85836628629535	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	2216501	464973	2216501	168454076	969032	166521607	1.147178534284917			0.5991	0.0382	0.3627
SRX5352226	2136063	1188393	2320	227273	0	0	0	0	6286	0	0	0	0	647505	58839	5447	55.63473549235205	2136063.0	1908790.0	89.36	227273.0	10.64	SRX5352226_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2136063.0	0.0	20-76	65.0	63.55635233518478	74.6182130395967	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	2138655	512886	2138655	162537780	1348598	160137747	1.4766000864537463			0.5833	0.0386	0.3781
SRX5352227	4378075	3160383	26275	189811	0	0	0	0	22522	0	0	0	0	804513	164710	9861	72.1865888546907	4378075.0	4188264.0	95.66	189811.0	4.34	SRX5352227_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4378075.0	0.0	20-76	67.0	52.20716874025774	73.97505935827961	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	4383171	1210462	4383171	330950201	1119554	326551749	1.329037416115665			0.4626	0.0855	0.4519
SRX5352228	4210987	3041970	31908	183190	0	0	0	0	22268	0	0	0	0	767204	154719	9728	72.23888366314121	4210987.0	4027797.0	95.65	183190.0	4.35	SRX5352228_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4210987.0	0.0	20-76	67.0	53.127850905098256	73.98677032249209	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	4215905	1189330	4215905	318332310	1486943	313708699	1.4524479151990572			0.4595	0.0865	0.45399999999999996
SRX5352229	4341528	3154050	38904	183306	0	0	0	0	20640	0	0	0	0	772036	162096	10496	72.64838554536558	4341528.0	4158222.0	95.78	183306.0	4.22	SRX5352229_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4341528.0	0.0	20-76	67.0	50.83776637445547	74.09625643321891	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	4346643	1178472	4346643	328200694	1611443	323625598	1.3939933960042143			0.4577	0.0834	0.4588
SRX5352230	2968469	1820826	477147	253171	0	0	0	0	12079	0	0	0	0	338341	61055	5850	61.338892203354646	2968469.0	2715298.0	91.47	253171.0	8.53	SRX5352230_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2968469.0	0.0	20-76	64.0	55.29085053948882	73.91071289610908	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	2971760	898948	2971760	224408824	893194	221413219	1.3348873482800303			0.4255	0.0189	0.5556
SRX5352231	3725724	2716458	38252	318322	0	0	0	0	12610	0	0	0	0	542843	88404	8835	72.91087584587586	3725724.0	3407402.0	91.46	318322.0	8.54	SRX5352231_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3725724.0	0.0	20-76	65.0	54.2633670881218	74.07372419427742	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	3730761	1173758	3730761	281720744	1665985	277536432	1.485269398550218			0.53	0.023	0.447
SRX5352232	5431304	4034448	139141	262409	0	0	0	0	15986	0	0	0	0	832360	130145	16815	74.28138804235594	5431304.0	5168895.0	95.17	262409.0	4.83	SRX5352232_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5431304.0	0.0	20-76	65.0	42.25344881396739	74.23570950917127	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	5435286	1740159	5435286	410424114	1398765	405560348	1.1850585367895805			0.5132	0.0238	0.46299999999999997
SRX5388954	38635757	24641654	1118606	2200568	0	0	0	0	0	0	0	0	0	9552630	1059687	62612	63.77939999984989	38635757.0	36435189.0	94.3	2200568.0	5.7	SRX5388954_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38635757.0	0.0	20-76	64.0	33.557350465672066	74.55212041011646	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	38731452	11369151	38731452	2929945913	9079000	2895659639	1.1702016016020569	0.2418	0.2306	0.5276		
SRX5388955	37130195	23113099	955451	2697176	0	0	0	0	0	0	0	0	0	9316507	990369	57593	62.248795084431954	37130195.0	34433019.0	92.74	2697176.0	7.26	SRX5388955_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37130195.0	0.0	20-76	63.0	33.21302183499457	74.55478405109372	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	37171200	10780298	37171200	2811746007	9162590	2782975873	1.023212407108435	0.2366	0.2266	0.5369		
SRX5388956	33363226	20173309	1256100	1961079	0	0	0	0	0	0	0	0	0	9045816	875258	51664	60.465702567251746	33363226.0	31402147.0	94.12	1961079.0	5.88	SRX5388956_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33363226.0	0.0	20-76	63.0	36.257960271810845	74.52617489687599	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	33436454	9771406	33436454	2529368025	8772268	2499769046	1.1702124288536462	0.2388	0.22699999999999998	0.5342		
SRX5388957	37261598	21910134	1247503	3518549	0	0	0	0	0	0	0	0	0	9571959	958261	55192	58.80084369972538	37261598.0	33743049.0	90.56	3518549.0	9.44	SRX5388957_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37261598.0	0.0	20-76	63.0	32.666432919779595	74.56247346128312	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	37296498	11005667	37296498	2821275623	8820381	2793243876	0.9935841351860716	0.2364	0.2281	0.5355		
SRX5388958	36249637	22808049	1998820	1791936	0	0	0	0	0	0	0	0	0	8878779	720144	51909	62.919385923781796	36249637.0	34457701.0	95.06	1791936.0	4.94	SRX5388958_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36249637.0	0.0	20-76	64.0	30.707415955493822	74.59747417608624	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	36350915	10594365	36350915	2750247219	8250603	2718382769	1.158603116834931	0.2413	0.2268	0.5319		
SRX5388959	39178849	25417757	794201	3758575	0	0	0	0	0	0	0	0	0	8384560	766384	57372	64.87622186144367	39178849.0	35420274.0	90.41	3758575.0	9.59	SRX5388959_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39178849.0	0.0	20-76	64.0	31.87253052193387	74.59435543907887	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	39222503	11175029	39222503	2967168090	9655264	2937927151	0.9854830637518752	0.2126	0.2033	0.584		
SRX5388960	37903576	24238670	929681	4068015	0	0	0	0	0	0	0	0	0	7875435	736901	54874	63.948240662042025	37903576.0	33835561.0	89.27	4068015.0	10.73	SRX5388960_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37903576.0	0.0	20-76	64.0	31.43915438908045	74.5986244147518	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	37946057	10941866	37946057	2870541604	8973820	2842501869	0.9768099149278172	0.2166	0.2072	0.5762		
SRX5388961	35816693	22478202	989159	4129887	0	0	0	0	0	0	0	0	0	7464810	701514	53121	62.759010163221944	35816693.0	31686806.0	88.47	4129887.0	11.53	SRX5388961_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35816693.0	0.0	20-76	63.0	32.558077126032984	74.56570147333257	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	35863927	10388293	35863927	2712951799	9067300	2684911720	1.033563479098141	0.2173	0.2099	0.5729		
SRX5388962	42795948	23353070	1667325	2637046	0	0	0	0	0	0	0	0	0	14021917	1056893	59697	54.56841381338252	42795948.0	40158902.0	93.84	2637046.0	6.16	SRX5388962_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42795948.0	0.0	20-76	63.0	29.311320195534	74.5588109883674	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	42846463	12906174	42846463	3241733395	10257905	3207988024	1.040966880621594	0.2109	0.1993	0.5898		
SRX5388963	37644912	20037692	1406126	2387815	0	0	0	0	0	0	0	0	0	12868938	892999	51342	53.22815471052237	37644912.0	35257097.0	93.66	2387815.0	6.34	SRX5388963_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37644912.0	0.0	20-76	63.0	30.25602611563628	74.55828325485261	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	37666518	11173908	37666518	2849697339	9264310	2821775960	0.9798015606035556	0.2028	0.1909	0.6062		
SRX5388964	38725580	20127015	1256444	2814291	0	0	0	0	0	0	0	0	0	13590382	885639	51809	51.97343719577602	38725580.0	35911289.0	92.73	2814291.0	7.27	SRX5388964_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38725580.0	0.0	20-76	63.0	31.523288914017467	74.53287702856872	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	38761932	11361714	38761932	2932406103	10076528	2901906821	1.0400770196460063	0.1915	0.1821	0.6264		
SRX5388965	44864480	24532348	1395370	2700376	0	0	0	0	0	0	0	0	0	15112386	1059704	64296	54.68100376957451	44864480.0	42164104.0	93.98	2700376.0	6.02	SRX5388965_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44864480.0	0.0	20-76	63.0	29.28079377946921	74.56403520112123	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	44903188	13239474	44903188	3397046111	10643741	3363120473	0.998680526889086	0.2025	0.1919	0.6056		
SRX5492581	21385043	14762259	253704	613380	0	0	0	0	41378	0	0	0	0	4578040	1090558	45724	69.03076603586908	21385043.0	20771663.0	97.13	613380.0	2.87	SRX5492581_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21385043.0	0.0	20-101	64.0	15.481723874988573	98.98760540252363	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	21387091	5621407	21387091	2160096191	7163156	2132849419	1.2613684572716328			0.489	0.0552	0.4558
SRX5492582	34681752	23480017	2228978	4805894	0	0	0	0	43002	0	0	0	0	2509529	1425365	188967	67.70135776301036	34681752.0	29875858.0	86.14	4805894.0	13.86	SRX5492582_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34681752.0	0.0	20-101	63.0	16.239330966517613	99.57728836766954	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	34767672	8719962	34767672	3511534872	6847068	3486977674	0.6993294640418425			0.433	0.2876	0.2794
SRX5493107	21662102	7981753	9823674	1262750	0	0	0	0	22327	0	0	0	0	1967383	556022	48193	36.84662273310318	21662102.0	20399352.0	94.17	1262750.0	5.83	SRX5493107_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21662102.0	0.0	20-101	62.0	15.64979734500275	99.30471890493358	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass	21679956	5267424	21679956	2189675556	1181934	2173385253	0.7439596681509468			0.2449	0.0326	0.7224
SRX5493108	20318185	6070924	11108124	1029819	0	0	0	0	15469	0	0	0	0	1639701	417903	36245	29.879263329869275	20318185.0	19288366.0	94.93	1029819.0	5.07	SRX5493108_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20318185.0	0.0	20-101	61.0	13.161716481210116	99.39572968746964	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	20334934	6431167	20334934	2053828334	5599288	2030210990	1.1499181118999988			0.2085	0.0266	0.7649
SRX5509425	16141063	1569085	12393528	1259280	0	0	0	0	16077	0	0	0	0	828031	69145	5917	9.721075991091787	16141063.0	14881783.0	92.2	1259280.0	7.8	SRX5509425_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16141063.0	0.0	20-100	58.0	13.554226423989576	97.52246342139921	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	16467952	4708344	16467952	1646795200	10038723	1622028485	1.5039341261135568			0.0787	0.4669	0.4543
SRX5509426	25487515	15277365	234268	1386611	0	0	0	0	38171	0	0	0	0	8059861	452252	38987	59.940582673516815	25487515.0	24100904.0	94.56	1386611.0	5.44	SRX5509426_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25487515.0	0.0	20-100	66.0	19.431594021044678	98.80807391383587	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	25774732	7384237	25774732	2577473200	5920937	2528101108	1.9155230013642817			0.4804	0.2595	0.2601
SRX5509427	25807950	19999836	82038	1068984	0	0	0	0	20357	0	0	0	0	3761959	816644	58132	77.49486495440358	25807950.0	24738966.0	95.86	1068984.0	4.14	SRX5509427_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25807950.0	0.0	20-100	66.0	22.131079740883845	98.86435203106019	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	26063802	7211887	26063802	2606380200	12649424	2556402955	1.9174963422450801			0.5146	0.243	0.2423
SRX5509428	22811297	18168492	89073	997129	0	0	0	0	21864	0	0	0	0	2745114	738502	51123	79.64690477704973	22811297.0	21814168.0	95.63	997129.0	4.37	SRX5509428_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22811297.0	0.0	20-100	66.0	24.82885957990716	98.79371760404504	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	23501530	6744912	23501530	2350153000	21407396	2263192620	3.700200795437573			0.5052	0.2485	0.2463
SRX5605043	3500641	171843	148406	1651922	0	0	0	0	6057	0	0	0	0	1510757	11440	216	4.908900969850952	3500641.0	1848719.0	52.81	1651922.0	47.19	SRX5605043_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3500641.0	0.0	20-126	54.0	52.44738874292345	113.7370984342582	pass	pass		pass	fail	fail	pass	warn	warn	warn	pass	3688314	1947607	3688314	334311297	3929654	309675367	7.369158691637034			0.8409	0.0207	0.1383
SRX5605044	9601829	1866751	485833	2659665	0	0	0	0	3082	0	0	0	0	4434110	140321	12067	19.441618883235684	9601829.0	6942164.0	72.3	2659665.0	27.7	SRX5605044_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9601829.0	0.0	20-100	57.0	41.730335008363866	98.71808194043032	pass	fail		pass	fail	fail	pass	warn	fail	fail	pass	9605902	3127617	9605902	960590200	1148822	949427352	1.1620822281967895			0.7008	0.0661	0.2332
SRX5605045	10647928	1114084	179555	4768103	0	0	0	0	3205	0	0	0	0	4488720	86648	7613	10.462918231603368	10647928.0	5879825.0	55.22	4768103.0	44.78	SRX5605045_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10647928.0	0.0	20-100	51.0	54.21928316998288	98.44678438847444	pass	pass		pass	fail	fail	pass	warn	warn	fail	pass	10651951	3174148	10651951	1065195100	1111963	1053700572	1.0791007206097738			0.8059	0.0458	0.1483
SRX5605046	3902584	78284	150999	3607639	0	0	0	0	453	0	0	0	0	59191	5916	102	2.005952978846836	3902584.0	294945.0	7.56	3607639.0	92.44	SRX5605046_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3902584.0	0.0	20-91	49.0	31.836355553064	88.74082044102062	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	3982444	1955040	3982444	360882760	1964669	348538909	3.420460151657009			0.29600000000000004	0.0314	0.6725
SRX5605047	20560929	2770625	620110	10125449	0	0	0	0	19703	0	0	0	0	6812608	194052	18382	13.475193654917051	20560929.0	10435480.0	50.75	10125449.0	49.25	SRX5605047_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20560929.0	0.0	20-100	48.0	45.13837606050426	98.43572243258076	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	20566433	6122546	20566433	2056643300	1920929	2029338835	1.3276227822296651			0.7249	0.0502	0.2249
SRX5605048	10150357	1277636	66420	5587562	0	0	0	0	5264	0	0	0	0	3107641	95030	10804	12.587104079196427	10150357.0	4562795.0	44.95	5587562.0	55.05	SRX5605048_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10150357.0	0.0	20-100	44.0	64.03263864707479	98.22281482316336	pass	pass		pass	fail	fail	pass	warn	warn	fail	pass	10153863	2388558	10153863	1015386300	2675145	1004778051	1.0447500621192152			0.7589	0.0591	0.1819
SRX5605049	23812950	7199642	1345826	5343974	0	0	0	0	18955	0	0	0	0	9359790	489732	55031	30.23414570643285	23812950.0	18468976.0	77.56	5343974.0	22.44	SRX5605049_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23812950.0	0.0	20-100	57.0	34.25139988232584	98.66682767149807	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	23820718	8251614	23820718	2382071800	2619712	2356293772	1.0821683880393531			0.6268	0.0543	0.319
SRX5605050	6465347	1403734	232840	1728948	0	0	0	0	3608	0	0	0	0	2980353	105219	10645	21.71165754908437	6465347.0	4736399.0	73.26	1728948.0	26.74	SRX5605050_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6465347.0	0.0	20-100	57.0	42.487600281987106	98.90090663347227	pass	fail		pass	fail	fail	pass	warn	fail	fail	pass	6467733	2088006	6467733	646773300	802259	640242953	1.0096809809557692			0.6974	0.0706	0.2321
SRX5605051	9673372	1147458	335946	3945900	0	0	0	0	2506	0	0	0	0	4144693	89757	7112	11.86202701601882	9673372.0	5727472.0	59.21	3945900.0	40.79	SRX5605051_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9673372.0	0.0	20-100	53.0	49.1025843018353	98.64245725275528	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	9677991	2977829	9677991	967799100	855457	957141548	1.1012153245441123			0.7737	0.0502	0.1761
SRX5605052	7072645	228017	96775	5032803	0	0	0	0	1324	0	0	0	0	1694127	17266	2333	3.2239282474943955	7072645.0	2039842.0	28.84	5032803.0	71.16	SRX5605052_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7072645.0	0.0	20-100	45.0	73.680463817676	97.97392686894364	pass	pass		pass	fail	fail	pass	warn	pass	fail	pass	7097793	2003640	7097793	709779300	1788115	700700707	1.279072663854807			0.8567	0.0236	0.1197
SRX5605053	2827784	57083	108303	2613306	0	0	0	0	883	0	0	0	0	43855	4280	74	2.018647817513643	2827784.0	214478.0	7.58	2613306.0	92.42	SRX5605053_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2827784.0	0.0	20-91	49.0	35.397653554903385	88.29016148333821	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	2921389	1491202	2921389	264746643	1862771	251342972	5.06282944633976			0.2966	0.0324	0.6709
SRX5605054	4692642	171708	8920	4365593	0	0	0	0	1401	0	0	0	0	132371	12414	235	3.659090124497032	4692642.0	327049.0	6.97	4365593.0	93.03	SRX5605054_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4692642.0	0.0	20-91	48.0	40.40448233274654	87.95377188372774	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	4829616	2446683	4829616	437616668	3623660	415589228	5.0335011462588986			0.5871	0.0608	0.3521
SRX5605055	6419910	419243	155922	3023625	0	0	0	0	3896	0	0	0	0	2780452	30629	6143	6.530356344559348	6419910.0	3396285.0	52.9	3023625.0	47.1	SRX5605055_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6419910.0	0.0	20-100	53.0	49.766243788824575	98.82693308784702	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	6454374	1842044	6454374	645437400	957854	639434875	0.9299933657392644			0.8471	0.0255	0.1274
SRX5605056	16353540	1212306	461014	5184617	0	0	0	0	6843	0	0	0	0	9388756	89816	10188	7.413110555879643	16353540.0	11168923.0	68.3	5184617.0	31.7	SRX5605056_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16353540.0	0.0	20-100	54.0	35.02422630789125	98.80515496950508	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	16358411	4410932	16358411	1635841100	1287886	1619832405	0.9786216399624634			0.8509	0.0236	0.1255
SRX5605057	1573298	84527	58338	819606	0	0	0	0	28657	0	0	0	0	576876	5165	129	5.372599469394864	1573298.0	753692.0	47.91	819606.0	52.09	SRX5605057_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1573298.0	0.0	20-126	57.0	50.80709819854676	107.85232041228045	pass	pass		pass	fail	fail	pass	warn	warn	fail	pass	3407961	2497979	3407961	427795024	48042804	282334452	34.00239924249329			0.7902	0.0352	0.1746
SRX5605058	3445352	178975	148421	1531833	0	0	0	0	4709	0	0	0	0	1569030	12153	231	5.194679672788151	3445352.0	1913519.0	55.54	1531833.0	44.46	SRX5605058_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3445352.0	0.0	20-126	55.0	50.8647112192643	116.06395892204918	pass	pass		pass	fail	fail	pass	warn	warn	warn	pass	3515705	1739285	3515705	318649033	1495005	306373237	3.852450416819561			0.8444	0.0204	0.1351
SRX5605059	7702075	1223518	136872	3984042	0	0	0	0	3184	0	0	0	0	2247300	97440	9719	15.885563305992218	7702075.0	3718033.0	48.27	3984042.0	51.73	SRX5605059_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7702075.0	0.0	20-100	50.0	58.47500874668396	98.73174904165435	pass	pass		pass	fail	fail	pass	warn	warn	fail	pass	7722386	2145373	7722386	772238600	1234337	764204200	1.0404038337373966			0.6829999999999999	0.0729	0.2441
