,A,whiB4
SRX4314284,1.6701326120000002,-0.1018318642
SRX4314283,3.9179668994,-0.5204631684000001
SRX4314282,1.7357308433,-0.22244771900000002
SRX4314293,2.0947911838,-0.2652265131
SRX4314292,-0.7697802832,-0.49175257710000003
SRX4314291,2.1594055908,-0.4736174427
SRX4314297,1.6343665285,-0.3995440058
SRX4314298,-0.8397323967,-0.39390451130000004
SRX4314299,4.6933185073,-0.3589271888
SRX4314302,4.5078736281000005,-0.46597214330000003
SRX4314301,-0.5917552186,-0.3639852873
SRX4314300,1.6515596571,-0.27811621880000004
SRX4314305,3.1766030334,-0.0131843401
SRX4314304,-0.7902925110000001,0.27145342780000004
SRX4314303,0.5461725544,0.18498739660000002
SRX4314309,1.9489247464,-0.3766555861
SRX4314306,1.1371708256,0.0374124116
SRX4314308,3.2332937412,-0.0030449249
SRX4314307,-0.3815130807,0.1860862768
SRX4314311,3.1112410193,-0.3529749097
SRX4314317,3.6835420284,0.4192012174
SRX4314316,1.3872305235,0.4418675419
SRX4314318,5.3706240141,0.446621058
SRX4314319,3.9953216447,0.38762721110000004
SRX4314331,1.3579517923,-0.017869393600000002
SRX4314330,1.9280186073,0.1078803624
SRX4314332,3.2828494623,0.1853305891
SRX4314335,1.698927017,-0.0398662528
SRX4314334,0.42790664710000004,0.071696069
SRX4314333,0.8822850471,-0.0539782424
SRX4314338,0.8189856943,-0.162589072
SRX4314336,0.35649965850000004,-0.0839141245
SRX4314337,-0.1403439957,0.24447096210000002
SRX4314339,-2.5672357705,-0.1891997203
SRX4314340,-3.0772891565,0.07890355240000001
SRX4314341,-1.733855882,-0.1057555332
SRX3686762,-20.13176075,-0.0158721331
SRX3686763,-20.1237937302,-0.0097011965
SRX3686761,-20.4967309473,-0.0153808181
SRX3686765,-0.3889168745,-0.148865449
SRX3686769,-2.6545051241,-0.041887685200000004
SRX3686766,-2.9565547834,0.2718844675
SRX3686768,-1.8292298001,0.295709011
SRX3686764,-1.7219674639,0.1095404646
SRX3686767,-2.6021646139,0.0183178025
SRX3686788,-0.5577995177,-0.1856891457
SRX3686791,0.20017174710000002,0.0883926887
SRX3686792,0.0023130702,-0.1468380797
SRX3686793,2.1571031406,0.012851646000000001
SRX3686790,-1.0246926096,0.2348799426
SRX3686789,-0.7770958306,-0.0035970518000000003
SRX3686829,-18.0373697914,0.1692919444
SRX3686830,-17.5485083436,0.080778765
SRX3686828,-18.3908225041,0.0867730956
SRX3686819,-14.9039949933,0.3435761332
SRX3686818,-15.604685586,0.2883777061
SRX3686817,-16.590535547,0.2643392287
SRX3686822,-15.9029625992,-0.7418996079
SRX3686820,-16.5415568841,-0.7418840396
SRX3686821,-16.8077266021,-0.8053127232
SRX3686743,-19.801150895,0.1203361718
SRX3686744,-20.136460066,0.1417026282
SRX3686745,-19.5675409189,0.2167396417
SRX3686772,-21.1026115847,0.0776668241
SRX3686770,-21.3972568804,0.5054834574
SRX3686771,-21.2786779985,0.2227226039
SRX3686794,-14.3466877272,0.5858864819
SRX3686796,-13.5310074818,0.1675259197
SRX3686751,-20.5764437992,0.1588647745
SRX3686749,-20.375410767,0.18451152880000002
SRX3686750,-20.3616891436,0.0641829379
SRX3686778,-20.3499565499,0.1398143376
SRX3686777,-21.1232640909,0.0175434205
SRX3686776,-21.4828959137,0.0284110162
SRX3686800,-15.0646720645,0.1765467749
SRX3686801,-14.9696104551,0.1442105802
SRX3686755,-21.1342087219,0.1437106416
SRX3686757,-22.2380613025,0.1257417442
SRX3686756,-20.9046962174,0.1170291091
SRX3686784,-21.4884350943,-0.2061255002
SRX3686783,-21.7884039046,-0.22459888200000003
SRX3686782,-22.0399677334,0.0070589924
SRX3686809,-14.5889788431,0.0094884696
SRX3686807,-15.8375355799,-0.008951611200000001
SRX3686808,-15.416064677,0.0963730188
SRX3686787,-19.920159108500002,-0.9194448513000001
SRX3686786,-20.5433743006,-0.9426904701000001
SRX3686785,-21.2734853396,-0.8847373998
SRX3686799,-11.9523295732,-0.5474836482000001
SRX3686797,-13.3532253313,-0.40934811800000004
SRX3686798,-13.3733504407,-0.34512571280000004
SRX3686746,-19.1164104603,-0.2948663433
SRX3686748,-18.9926635668,-0.3319340919
SRX3686747,-18.9605077525,-0.1802614042
SRX3686773,-20.8500881622,-0.08292283040000001
SRX3686774,-20.5048574401,-0.1921773467
SRX3686775,-19.509641733,-0.3101844965
SRX3686754,-19.4661476393,-0.40839920160000004
SRX3686753,-19.6667183943,-0.5018389917
SRX3686752,-19.5637297112,-0.5320153486
SRX3686780,-19.3764142724,-0.7655924733
SRX3686779,-20.3394756306,-0.5107310812
SRX3686781,-19.2997002391,-0.6994789594
SRX3686806,-13.0000557019,-1.0478436946
SRX3686805,-14.2353311278,-0.8791967713000001
SRX3686758,-19.1269795827,-0.7320489648
SRX3686760,-19.678472671,-0.740280994
SRX3686759,-18.741902902,-0.7058704211
SRX3686810,-15.9745107749,-0.9209895220000001
SRX3686811,-15.142887932,-1.0148459425
SRX3686812,-14.686849342,-1.0751907994
SRX3686813,-21.1699818009,-0.0090802301
SRX3686815,-19.34720587,-1.1132535493
SRX3686816,-18.7042268051,-1.0961371668
SRX3686823,-20.4952408612,-0.0202049933
SRX3686824,-20.259062544,0.07751158600000001
SRX3686825,-20.4706163883,-0.654298492
SRX3686827,-19.8664688451,-0.6021311303
SRX3686826,-20.2085766374,-0.4964782726
SRX7054191,0.479447383,-0.0118836101
SRX7054189,-0.45406355190000003,-0.0943186531
SRX7054190,-0.0253838312,0.10620226320000001
SRX7054193,5.3798940247,0.0041208193
SRX7054192,7.0700308088,-0.116000084
SRX7054194,6.8602059118,0.1465339168
SRX4506284,-0.9261179718,0.4012559103
SRX4506280,-0.8864712212,0.5443184627000001
SRX4506282,-1.0038817992,0.6293675235
SRX4506278,-1.1373931929,0.5466591093000001
SRX4506274,0.40380650970000004,-0.1576649091
SRX4506273,-0.3555402823,0.0464030489
SRX4506271,0.060195849,0.0567004912
SRX4506276,-0.10846207640000001,0.054561369000000005
SRX4506283,-0.8106613432,0.37918309720000004
SRX4506279,-0.9218465263000001,0.3893255232
SRX4506285,-0.5767193457,0.3519140754
