,gene_id,database,kegg_id
2573,Rv0350,KEGG_pathway,map04212
2574,Rv0350,KEGG_pathway,map05152
2578,Rv0357c,KEGG_pathway,map00230
2579,Rv0357c,KEGG_pathway,map00250
2580,Rv0357c,KEGG_pathway,map01100
2592,Rv0363c,KEGG_pathway,map00010
2593,Rv0363c,KEGG_pathway,map00030
2594,Rv0363c,KEGG_pathway,map00051
2595,Rv0363c,KEGG_pathway,map00680
2596,Rv0363c,KEGG_pathway,map00710
2597,Rv0363c,KEGG_pathway,map01100
2598,Rv0363c,KEGG_pathway,map01110
2599,Rv0363c,KEGG_pathway,map01120
2600,Rv0363c,KEGG_pathway,map01130
2601,Rv0363c,KEGG_pathway,map01200
2602,Rv0363c,KEGG_pathway,map01230
2604,Rv0371c,KEGG_pathway,map00790
2607,Rv0382c,KEGG_pathway,map00240
2608,Rv0382c,KEGG_pathway,map01100
2610,Rv0384c,KEGG_pathway,map04213
2616,Rv0389,KEGG_pathway,map00230
2617,Rv0389,KEGG_pathway,map00670
2618,Rv0389,KEGG_pathway,map01100
2619,Rv0389,KEGG_pathway,map01110
2620,Rv0389,KEGG_pathway,map01130
2624,Rv0391,KEGG_pathway,map00270
2625,Rv0391,KEGG_pathway,map00920
2626,Rv0391,KEGG_pathway,map01100
2628,Rv0392c,KEGG_pathway,map00190
2636,Rv0400c,KEGG_pathway,map00071
2637,Rv0400c,KEGG_pathway,map00310
2638,Rv0400c,KEGG_pathway,map00362
2639,Rv0400c,KEGG_pathway,map00380
2640,Rv0400c,KEGG_pathway,map01100
2641,Rv0400c,KEGG_pathway,map01120
2642,Rv0400c,KEGG_pathway,map01130
2651,Rv0408,KEGG_pathway,map00430
2652,Rv0408,KEGG_pathway,map00620
2653,Rv0408,KEGG_pathway,map00640
2654,Rv0408,KEGG_pathway,map00680
2655,Rv0408,KEGG_pathway,map00720
2656,Rv0408,KEGG_pathway,map01100
2657,Rv0408,KEGG_pathway,map01120
2658,Rv0408,KEGG_pathway,map01200
2667,Rv0409,KEGG_pathway,map00430
2668,Rv0409,KEGG_pathway,map00620
2669,Rv0409,KEGG_pathway,map00640
2670,Rv0409,KEGG_pathway,map00680
2671,Rv0409,KEGG_pathway,map00720
2672,Rv0409,KEGG_pathway,map01100
2673,Rv0409,KEGG_pathway,map01120
2674,Rv0409,KEGG_pathway,map01200
2676,Rv0410c,KEGG_pathway,map05152
2679,Rv0414c,KEGG_pathway,map00730
2680,Rv0414c,KEGG_pathway,map01100
2683,Rv0415,KEGG_pathway,map00730
2684,Rv0415,KEGG_pathway,map01100
2686,Rv0416,KEGG_pathway,map04122
2689,Rv0417,KEGG_pathway,map00730
2690,Rv0417,KEGG_pathway,map01100
2693,Rv0422c,KEGG_pathway,map00730
2694,Rv0422c,KEGG_pathway,map01100
2697,Rv0423c,KEGG_pathway,map00730
2698,Rv0423c,KEGG_pathway,map01100
2700,Rv0427c,KEGG_pathway,map03410
2704,Rv0428c,KEGG_pathway,map00220
2705,Rv0428c,KEGG_pathway,map01210
2706,Rv0428c,KEGG_pathway,map01230
2712,Rv0432,KEGG_pathway,map04146
2713,Rv0432,KEGG_pathway,map04213
2714,Rv0432,KEGG_pathway,map05014
2715,Rv0432,KEGG_pathway,map05016
2716,Rv0432,KEGG_pathway,map05020
2719,Rv0435c,KEGG_pathway,map04141
2720,Rv0435c,KEGG_pathway,map05134
2725,Rv0436c,KEGG_pathway,map00260
2726,Rv0436c,KEGG_pathway,map00564
2727,Rv0436c,KEGG_pathway,map01100
2728,Rv0436c,KEGG_pathway,map01110
2732,Rv0437c,KEGG_pathway,map00564
2733,Rv0437c,KEGG_pathway,map01100
2734,Rv0437c,KEGG_pathway,map01110
2737,Rv0438c,KEGG_pathway,map00790
2738,Rv0438c,KEGG_pathway,map01100
2744,Rv0440,KEGG_pathway,map03018
2745,Rv0440,KEGG_pathway,map04212
2746,Rv0440,KEGG_pathway,map04940
2747,Rv0440,KEGG_pathway,map05134
2748,Rv0440,KEGG_pathway,map05152
2767,Rv0456c,KEGG_pathway,map00071
2768,Rv0456c,KEGG_pathway,map00280
2769,Rv0456c,KEGG_pathway,map00281
2770,Rv0456c,KEGG_pathway,map00310
2771,Rv0456c,KEGG_pathway,map00360
2772,Rv0456c,KEGG_pathway,map00362
2773,Rv0456c,KEGG_pathway,map00380
2774,Rv0456c,KEGG_pathway,map00410
2775,Rv0456c,KEGG_pathway,map00627
2776,Rv0456c,KEGG_pathway,map00640
2777,Rv0456c,KEGG_pathway,map00650
2778,Rv0456c,KEGG_pathway,map00903
2779,Rv0456c,KEGG_pathway,map00930
2780,Rv0456c,KEGG_pathway,map01100
2781,Rv0456c,KEGG_pathway,map01110
2782,Rv0456c,KEGG_pathway,map01120
2783,Rv0456c,KEGG_pathway,map01130
2784,Rv0456c,KEGG_pathway,map01212
2786,Rv0457c,KEGG_pathway,map04614
2792,Rv0458,KEGG_pathway,map00010
2793,Rv0458,KEGG_pathway,map00620
2794,Rv0458,KEGG_pathway,map01100
2795,Rv0458,KEGG_pathway,map01110
2796,Rv0458,KEGG_pathway,map01120
2809,Rv0462,KEGG_pathway,map00010
2810,Rv0462,KEGG_pathway,map00020
2811,Rv0462,KEGG_pathway,map00260
2812,Rv0462,KEGG_pathway,map00280
2813,Rv0462,KEGG_pathway,map00620
2814,Rv0462,KEGG_pathway,map00630
2815,Rv0462,KEGG_pathway,map00640
2816,Rv0462,KEGG_pathway,map01100
2817,Rv0462,KEGG_pathway,map01110
2818,Rv0462,KEGG_pathway,map01120
2819,Rv0462,KEGG_pathway,map01130
2820,Rv0462,KEGG_pathway,map01200
2826,Rv0467,KEGG_pathway,map00630
2827,Rv0467,KEGG_pathway,map01100
2828,Rv0467,KEGG_pathway,map01110
2829,Rv0467,KEGG_pathway,map01120
2830,Rv0467,KEGG_pathway,map01200
2836,Rv0468,KEGG_pathway,map00360
2837,Rv0468,KEGG_pathway,map00362
2838,Rv0468,KEGG_pathway,map00650
2839,Rv0468,KEGG_pathway,map01100
2840,Rv0468,KEGG_pathway,map01120
2842,Rv0478,KEGG_pathway,map00030
2846,Rv0482,KEGG_pathway,map00520
2847,Rv0482,KEGG_pathway,map00550
2848,Rv0482,KEGG_pathway,map01100
2860,Rv0489,KEGG_pathway,map00010
2861,Rv0489,KEGG_pathway,map00260
2862,Rv0489,KEGG_pathway,map00680
2863,Rv0489,KEGG_pathway,map01100
2864,Rv0489,KEGG_pathway,map01110
2865,Rv0489,KEGG_pathway,map01120
2866,Rv0489,KEGG_pathway,map01130
2867,Rv0489,KEGG_pathway,map01200
2868,Rv0489,KEGG_pathway,map01230
2869,Rv0489,KEGG_pathway,map04922
2870,Rv0489,KEGG_pathway,map05230
2872,Rv0490,KEGG_pathway,map02020
2874,Rv0491,KEGG_pathway,map02020
2876,Rv0496,KEGG_pathway,map00230
2882,Rv0500,KEGG_pathway,map00330
2883,Rv0500,KEGG_pathway,map01100
2884,Rv0500,KEGG_pathway,map01110
2885,Rv0500,KEGG_pathway,map01130
2886,Rv0500,KEGG_pathway,map01230
2890,Rv0501,KEGG_pathway,map00052
2891,Rv0501,KEGG_pathway,map00520
2892,Rv0501,KEGG_pathway,map01100
2897,Rv0509,KEGG_pathway,map00860
2898,Rv0509,KEGG_pathway,map01100
2899,Rv0509,KEGG_pathway,map01110
2900,Rv0509,KEGG_pathway,map01120
2905,Rv0510,KEGG_pathway,map00860
2906,Rv0510,KEGG_pathway,map01100
2907,Rv0510,KEGG_pathway,map01110
2908,Rv0510,KEGG_pathway,map01120
2913,Rv0511,KEGG_pathway,map00860
2914,Rv0511,KEGG_pathway,map01100
2915,Rv0511,KEGG_pathway,map01110
2916,Rv0511,KEGG_pathway,map01120
2921,Rv0512,KEGG_pathway,map00860
2922,Rv0512,KEGG_pathway,map01100
2923,Rv0512,KEGG_pathway,map01110
2924,Rv0512,KEGG_pathway,map01120
2929,Rv0524,KEGG_pathway,map00860
2930,Rv0524,KEGG_pathway,map01100
2931,Rv0524,KEGG_pathway,map01110
2932,Rv0524,KEGG_pathway,map01120
2936,Rv0534c,KEGG_pathway,map00130
2937,Rv0534c,KEGG_pathway,map01100
2938,Rv0534c,KEGG_pathway,map01110
2941,Rv0535,KEGG_pathway,map00270
2942,Rv0535,KEGG_pathway,map01100
2945,Rv0536,KEGG_pathway,map00523
2946,Rv0536,KEGG_pathway,map01130
2950,Rv0542c,KEGG_pathway,map00130
2951,Rv0542c,KEGG_pathway,map01100
2952,Rv0542c,KEGG_pathway,map01110
2956,Rv0548c,KEGG_pathway,map00130
2957,Rv0548c,KEGG_pathway,map01100
2958,Rv0548c,KEGG_pathway,map01110
2962,Rv0553,KEGG_pathway,map00130
2963,Rv0553,KEGG_pathway,map01100
2964,Rv0553,KEGG_pathway,map01110
2968,Rv0555,KEGG_pathway,map00130
2969,Rv0555,KEGG_pathway,map01100
2970,Rv0555,KEGG_pathway,map01110
2974,Rv0558,KEGG_pathway,map00130
2975,Rv0558,KEGG_pathway,map01100
2976,Rv0558,KEGG_pathway,map01110
2979,Rv0562,KEGG_pathway,map00900
2980,Rv0562,KEGG_pathway,map01110
2983,Rv0564c,KEGG_pathway,map00564
