,A,Rv3066,Rv3249c,mbcA
SRX4505481,0.32733860730000003,-0.21185480180000002,-0.15549759940000002,-0.3772141979
SRX4505477,-0.011194141000000001,-0.0887447432,-0.106716076,-0.3781315216
SRX4505475,-0.2079626648,-0.23841903450000002,-0.1536424251,-0.4850294003
SRX4505479,0.5622996794,-0.2365043048,-0.1450230508,-0.3089612637
SRX4605773,0.2642305766,0.3185423316,0.0664055734,-0.2151794002
SRX4605774,0.555809324,0.3739608971,0.08689088510000001,-0.2351005897
SRX4605772,0.046191931000000006,0.0370020745,-0.1099585066,-0.0832782049
SRX4605771,-0.046191931000000006,-0.0370020745,0.1099585066,0.0832782049
SRX5178871,0.11046731480000001,-0.2807414904,-0.1293027394,0.018598526
SRX5178872,-0.42055785840000004,-0.1862111606,-0.2393626935,0.1802368227
SRX5178868,0.7834546419,0.21218044500000002,0.0073485796,-0.0208354646
SRX5178870,-0.40954687840000004,-0.3012454694,0.015344521500000001,0.0350786622
SRX5178869,-0.3739077635,0.0890650244,-0.0226931011,-0.0142431976
ERX1404045,-0.5822974148,0.0464836368,-0.1062134182,-0.28510614770000003
ERX1404046,0.5822974148,-0.0464836368,0.1062134182,0.28510614770000003
ERX1404043,-0.1130508348,-1.3100374851,-0.292363592,0.0435927718
ERX1404044,0.218426113,-0.7643523047,-0.2000294768,0.4590191167
ERX237502,-0.10486964800000001,-0.2169539588,-0.9857185271000001,-0.9588804558
ERX237505,-0.814572748,-0.3018023751,-0.8487811488,-0.9848932905000001
ERX237506,-0.45016328240000003,-0.2636657206,-0.8521829414000001,-1.1786543928
ERX237500,0.769297946,-0.5732335829,-1.9668602597,1.4088974142000001
ERX237497,0.9073779369,-1.2007912926,-1.9531882229000002,1.1106591707
ERX237499,0.7141375592,-1.1424805564,-1.2540342971,1.3525055237
ERX237507,0.9130987968000001,0.4829668863,0.0969256134,0.1864958824
ERX237496,-1.1580559746,-0.644827122,-0.1732551852,0.1045068499
ERX237504,0.2449571778,0.1618602357,0.0763295719,-0.2910027323
ERX3772318,0.17775925380000002,0.0568215563,-0.1498295574,0.49167081230000004
ERX3772320,0.290605961,0.16790917360000002,0.15939836170000002,0.4161302713
ERX3772319,0.39852575020000003,0.15867949950000002,-0.0680260179,0.3033852402
ERX3772321,-0.2515833329,-0.0090742248,0.015071303500000001,-0.1474302882
ERX3772322,-0.1808396829,0.0074453213,0.0662857347,-0.08540573010000001
ERX3772323,0.43242301590000004,0.0016289036000000001,-0.08135703820000001,0.2328360183
SRX4314262,-0.12401456100000001,0.0871695344,0.0782200351,-0.1303338013
SRX4314263,-0.512426531,-0.18246905300000002,-0.0344063883,-0.13344325140000002
SRX4314261,0.6364410921,0.09529951860000001,-0.0438136468,0.2637770527
SRX4314265,-0.2220842862,-0.2618585061,-1.6102844174,-0.6575427645
SRX4314266,-0.059437597200000004,-0.0023205079,-1.5912912855,-0.120384819
SRX4314264,-0.7503002729,-0.7840833650000001,-2.2873105688,-1.6746970885999999
SRX4314268,-0.9834249316,-1.2680022101000001,-1.3769297227,0.1634183626
SRX4314267,-1.8440095135,-1.4576978092,-1.3432852433,-0.0318414156
SRX4314271,-3.629024481,-1.4400804777,-1.6513663409000001,-0.095111413
SRX4314272,-0.9897967279000001,-0.8787097355,-1.8015445465000002,0.11382047520000001
SRX4314275,-4.2085657445,-2.5416588719,-1.595703719,-0.12881441670000002
SRX4314274,-2.0930919705,-1.1942357289,-1.5133532390000002,-0.5653383418
SRX4314273,-3.9289838245,-3.0959077047,-1.1991585349,-0.7987145335
SRX4314278,-3.8614181901,-1.9277778309,-1.2916272277,-0.09293277130000001
SRX4314276,-2.6441849496,-1.7682019527000001,-1.3226661378,0.1100881981
SRX4314281,-3.6446425232,-1.7287886591000001,-1.4382087948,-0.2205485137
SRX4314279,-2.6984879549,-2.4751710595,-1.5116609115,-0.2204954942
SRX4314280,-3.7116552139,-1.7430396668,-1.4856277439,-0.250251812
SRX4314284,-2.4242550969,-1.8043567085,-1.2381601867,0.0973292769
SRX4314283,-2.1818140137,-1.6750851986000002,-0.8470132998000001,-0.1647874561
SRX4314282,-3.2846630027,-1.4896479047,-1.3063603636,-0.5219130032
SRX4314293,-1.2767693574,-1.1181766605,-1.4148852954,0.0970542554
SRX4314292,-2.0744328881,-1.9342699362,-0.9023576547000001,-0.35907728110000003
SRX4314291,-3.1303023039,-1.5594470839999999,-0.9749023206,-0.1820918278
SRX4314297,-1.8432592989,-1.455584906,-0.7878985757,0.4249507887
SRX4314298,-2.0746042262,-1.1295340584,-0.5458559626,0.2777584783
SRX4314299,-1.2286010151,-0.9480594513,-1.0557988181,0.14662574350000002
SRX4314302,-1.930315163,-1.5648230143,-0.7288759056,0.21586690200000003
SRX4314301,-1.958927594,-0.6296666195,-0.4372945494,0.5547429303
SRX4314300,-3.4807573926,-1.4241541756,-0.2937766645,0.49649742010000003
SRX4314305,-1.4375426706,-0.7788837789,-0.21603849390000002,0.5299951304
SRX4314304,-3.0972514993,-1.0192021471,-0.0448871094,1.2467677459
SRX4314303,-1.4802091249,-0.8323871054,-0.3835168956,1.2702395419
SRX4314309,-2.1047066978,-1.032280331,0.09457372260000001,0.6865460529
SRX4314306,-1.3452319331,-0.5868231981,-0.15868784300000002,0.7000497372000001
SRX4314308,-2.9546663457,-1.4113997095,-0.23002123870000002,0.33439095760000004
SRX4314307,-2.1851791891,-0.5099326427,0.0976958935,1.2035032023
SRX4314311,-2.467407975,-0.6188600669000001,-0.10066770480000001,0.21664594480000002
SRX4314317,-0.5203097807,-0.7916444528000001,-0.5195055108000001,1.081560823
SRX4314316,-1.6499517311,-1.2605018636,-0.3881152828,1.143360491
SRX4314318,-3.3586005568,-1.4137410223,-0.6521723672,0.8105024464
SRX4314319,-3.1749979627,-1.3563933448,-0.8008966952000001,0.7813606758
SRX4314331,-3.8450290959,-2.5401574985,-0.6799680451,0.8917289864
SRX4314330,-3.2899138418,-2.5425244474,-0.6645658199000001,0.9360322911000001
SRX4314332,-3.9724635824,-2.5326735087,-0.8249779180000001,0.8327746288000001
