,A,pyrR
SRX3686819,-0.4413133543,0.5290497144
SRX3686818,-0.0779710933,0.3429541586
SRX3686817,-0.1813585861,0.26650267380000003
SRX3686822,0.9968714646000001,0.1092042527
SRX3686820,1.558155942,0.0544827902
SRX3686821,1.1544256571,0.24282095820000002
SRX3686743,-3.3692836138,1.5958118642999999
SRX3686744,-3.5433629347,1.5920487388
SRX3686745,-3.1569358067,1.5734545277
SRX3686772,-3.6303603926,1.433642782
SRX3686770,-4.384732818,1.6506992063
SRX3686771,-3.7961342979,1.4336464007
SRX3686794,0.2740630102,0.1282386217
SRX3686796,-0.28866231800000003,0.13772320670000002
SRX3686751,-3.6258604718000003,1.5922204092999999
SRX3686749,-2.6994654306,1.6765687812999999
SRX3686750,-3.8572700343,1.7142698231
SRX3686778,-3.0513799922000002,1.4568225656
SRX3686777,-3.3999476243,1.5763106769
SRX3686776,-4.114523516,1.550010922
SRX3686800,0.5136607706,-0.1196966953
SRX3686801,0.2078970748,-0.1909237238
SRX3686755,-1.4358608836,1.3549284083
SRX3686757,-2.7837572136,1.5925801158000001
SRX3686756,-2.5603386647,1.6318389206
SRX3686784,-3.0936497066,1.4395040339
SRX3686783,-3.5371108579,1.5167850614
SRX3686782,-3.8682821651,1.5190029877
SRX3686809,1.5235512627999999,0.0508705938
SRX3686807,1.6517006331,0.1343368576
SRX3686808,1.3808969368000001,-0.0590692486
SRX3686787,0.2734497441,0.2014517852
SRX3686786,-0.13185138770000002,0.4719467442
SRX3686785,0.17083147440000002,0.1747205285
SRX3686799,-0.12490615640000001,-0.4290498936
SRX3686797,0.4642796114,-0.06572789180000001
SRX3686798,-0.2146531738,-0.12425007610000001
SRX3686746,-3.0779637293,1.1952398373
SRX3686748,-2.6275036114,1.214872518
SRX3686747,-2.8620853103,1.2470039358
SRX3686773,-2.3621378704,1.1937330368
SRX3686774,-3.0680606067,1.2665031937
SRX3686775,-1.9955744272,1.0049909379
SRX3686754,-2.1578993099,1.0375334921
SRX3686753,-2.0189569482,0.9016304940000001
SRX3686752,-2.1589192588,0.9850650387000001
SRX3686780,-0.46629004620000003,0.5132339794
SRX3686779,-0.7829569046,0.5773840711
SRX3686781,-0.8373163994,0.23381962180000002
SRX3686806,0.8496485956000001,-0.9258056336
SRX3686805,1.1124872733,-0.5222691349
SRX3686758,-0.6470383332,0.7563254948
SRX3686760,-0.8655335104,0.7524696030000001
SRX3686759,-0.3551706799,0.7295104672
SRX3686810,2.5437836738,-0.43814369820000004
SRX3686811,1.4476518164,-0.7751053693000001
SRX3686812,1.9941016276,-0.8649083346
SRX3686813,-2.4455484534,1.3529798191
SRX3686815,2.1129377514,-0.41716933500000003
SRX3686816,1.9743341686,-0.3622158353
SRX3686823,-1.4797314386,1.1148777419
SRX3686824,-0.9638086060000001,0.9049008023
SRX3686825,0.6806015775,0.0726383808
SRX3686827,1.8867463998,-0.3063839604
SRX3686826,1.9362982470999999,-0.1354055786
SRX7054191,0.7147393781,-0.36007806200000003
SRX7054189,-0.6498075362,0.1428918523
SRX7054190,-0.06493184190000001,0.21718620970000002
SRX7054193,2.1591206269,1.2964457866
SRX7054192,1.448528322,1.2306520465
SRX7054194,1.7068139538,1.0692251484
SRX4506284,0.6162823743,0.8750519556
SRX4506280,0.2158468462,0.8480119123000001
SRX4506282,0.17758890230000002,0.8672997262000001
SRX4506278,0.3717765176,0.9441311268
SRX4506274,0.0278388951,-0.057356393000000006
SRX4506273,-0.10265621850000001,-0.052655935200000004
SRX4506271,0.2237464082,-0.0378143748
SRX4506276,-0.1489290847,0.147826703
SRX4506283,0.2133896163,-0.9903121569000001
SRX4506279,-0.2084685962,-0.7399170747
SRX4506285,0.0398958426,-0.8797233672
SRX4506281,0.16782873140000001,-0.9441263377
SRX4506275,0.4118405053,-0.2595610859
SRX4506277,0.2131217094,-0.2748346271
SRX4506272,0.48162885450000004,-0.3162728334
SRX2923393,0.1999699218,-0.0192184978
SRX2923394,-0.1999699218,0.0192184978
SRX2923398,3.7741286081,-0.1278718815
SRX2923397,1.0459835975,0.16326650550000002
SRX2923395,8.4762602602,-2.0255139698
SRX2923396,8.5013257503,-1.7728187498999999
SRX2923400,2.2131768725,-1.2980627805
SRX2923401,2.4179054306,-1.6797152939000002
SRX2923403,6.627408172,-1.9542292181
SRX2923402,6.2405344602,-2.9465741602
SRX6853288,0.2132886198,0.10525164520000001
