,A,marR
SRX4506090,-0.6281739545,-0.9749358438000001
SRX4506078,-1.0393094532,-0.7205144853000001
SRX4506080,-0.80758079,-0.7378821475
SRX4506082,-1.1917674799,-0.7217768066
SRX4506076,-0.6792211327000001,-0.7115098499
SRX5352221,-0.34471492800000003,-0.1177831102
SRX5352223,-0.5953288956,-0.2157054373
SRX5352222,-1.9642869522000002,-0.4283040823
SRX5352229,-1.049854269,0.9684539748000001
SRX5352227,-0.25683458740000004,0.9087741828
SRX5352228,-0.4472675693,0.9875795395
SRX5352231,-5.0446331538999996,-1.5800325614
SRX5352232,-5.110956404,-1.4405687693
SRX5352230,-4.9682405136,-1.6652946198
SRX5352225,0.32688056860000003,-0.2590642395
SRX5352224,-0.4540806337,-0.3597931196
SRX5352226,-0.7983099735,-0.5044523599
SRX5352220,-0.17760270290000002,-0.0111370131
SRX5352219,0.2497923428,-0.0138587929
SRX5352218,-0.0721896399,0.0249958059
SRX4498228,-0.020885145600000002,-0.2399584012
SRX4498224,0.29641821300000004,-0.1763681191
SRX4498230,-0.4832096649,-0.2241092121
SRX4498226,0.1333349457,-0.2251637108
SRX4498218,-0.0171041073,0.053543686400000005
SRX4498216,-0.26882925020000004,-0.1370276342
SRX4498220,0.0909407136,0.1211270088
SRX4498222,0.1949926439,-0.0376430611
SRX4498225,-1.1231202731,-0.8588080773000001
SRX4498227,-1.2751720867,-0.8135525092
SRX4498231,-0.7908074935,-0.6457942328
SRX4498229,-0.974263215,-0.6376121184
SRX4498217,-1.0195862848,-0.5954574102
SRX4498221,-0.5537536023,-0.6714744392
SRX4498219,-0.8159716442,-0.6980633727000001
SRX4498223,-1.0659890837,-0.8384790113
SRX5079928,-0.6254207999,-0.1167741907
SRX5079930,-1.2425639407,-0.0475171349
SRX5079929,-0.9890915521,-0.0006895875
SRX5079923,-0.3175629995,0.0037740388000000002
SRX5079924,-0.1788889219,-0.0264082774
SRX5079922,-0.27303542740000003,-0.0881130544
SRX5079920,-0.033611204400000004,-0.013436633600000001
SRX5079921,-0.1796738629,0.0576542018
SRX5079919,0.21328506730000002,-0.0442175682
SRX5079926,-0.9109344417,-0.0784837016
SRX5079925,-0.7976510483,-0.1584592957
SRX5079927,-0.40662552830000004,-0.26794173460000004
SRX894005,3.6660017879,-0.5275807669
SRX894004,2.7772303973,-0.57656883
SRX894006,2.5746919165,-0.4784579869
SRX893999,0.18013414830000002,-0.0422013902
SRX894000,-0.1899574835,-0.1893927726
SRX893998,0.0098233353,0.2315941627
SRX4647489,0.0488091292,0.17448594920000002
SRX4647490,-0.0488091292,-0.17448594920000002
SRX4647492,-0.0062897302,0.152851402
SRX4647491,0.3113750306,0.2287241934
SRX4647496,-0.009578772900000001,0.2458389185
SRX4647495,-0.0680415912,0.32663580810000004
SRX4647499,0.0270372102,0.3564658967
SRX4647500,0.0161321727,0.0826535363
SRX4647493,0.2186745034,0.22083690220000002
SRX4647494,-0.0867627711,0.4102666314
SRX4647497,-0.2963103805,0.3874387305
SRX4647498,-0.0500804279,0.2659314485
SRX4505482,-0.1470289467,-0.0686446111
SRX4505486,0.0447664443,-0.0183385998
SRX4505484,0.1447984374,0.0772592812
SRX4505473,0.2190360515,0.0329304232
SRX4505476,0.16907641480000002,0.06519614630000001
SRX4505480,-0.0647024177,0.0101851632
SRX4505478,0.0696025754,-0.0929311607
SRX4505474,-0.17397657260000002,0.0175498512
SRX4505483,0.0694557926,0.5041805702000001
SRX4505485,-0.074684708,0.3900031848
SRX4505487,-0.0057695446,0.4291190881
SRX4505488,0.194742314,0.4436206526
SRX4505481,0.4629096996,0.44473540980000004
SRX4505477,0.3846942614,0.6130298129
SRX4505475,0.2342355097,0.5414097228
SRX4505479,0.21284353020000002,0.4019428855
SRX4605773,-0.4002807821,-0.0244352415
SRX4605774,0.1213933036,0.0456816752
SRX4605772,-0.0031972401,0.0171650314
SRX4605771,0.0031972401,-0.0171650314
SRX5178871,0.5713818725,0.15273350300000002
SRX5178872,-0.6280738157,-0.0602544505
SRX5178868,0.7410594498,0.3767793736
SRX5178870,-0.597741476,-0.056207971100000004
