Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rv0026,-0.008848998436394832,-0.010089300941712825,-0.00018010040876846175,0.002055545256174847,0.0011011360937801295,-0.00047868540633038206,-0.008782080948178835,-0.005974868370597242,-0.008937159404420662,-0.006377174877145679,0.007524163104720528,0.005024011263966007,0.0005274074239050285,0.0015807559503977359,0.0008671337996843857,-0.0057582286609362205,-0.014264612825304251,-0.002944249486287841
Rv0027,0.012214350356027932,0.0007732604236106687,-0.0038917112240461206,-0.0005875677068662417,0.003432071990023724,-0.002403234113036193,-0.007533834649296984,0.029972224698212604,0.00521226003448785,-0.0005652195318251636,0.024300622230709022,0.013491263816407098,-0.008088374922611259,-0.0001243317171512729,0.013612192309331304,-0.001891271984689451,0.006212810184985046,0.020474882140972348
Rv0028,0.0004888087601993313,-0.004527508318290036,0.001996590130132949,-0.011317810404802255,0.007438935229602694,0.011461005769540905,-0.013782667720474656,0.02188905005946137,0.009324774178747598,-0.00025938106998765477,0.022118735033753015,0.042272317024634305,-0.01753603374299451,-0.003921756099710549,0.009261382130545387,-0.004790591599302933,0.017689587909888338,0.019488556930410347
Rv0029,-0.000949173032942398,-0.006116771183020917,-0.005368438090562583,-0.0048000437430879405,-0.007153823317667538,-0.010220757524520264,-0.003912638501904309,-0.002094100979641859,-0.0006912501472492785,0.0024412502302458066,-0.004337053064644228,0.004292441182482072,-0.005625868677624038,-0.006248018628263587,-0.0082576129433129,0.022177647877466386,-0.009246639854515515,0.01312080608557462
Rv0030,-0.003710106761990725,-0.003952734328565843,0.00530166828528846,-0.002650726205052025,-0.0018866594883328303,-0.007883504037760357,-0.01639205030036439,0.008721858331572595,-0.005232943491522376,-0.001392098298071078,-0.013742639429802563,0.002373265021640583,-0.009871604891914697,-0.010953132748697799,-0.012394678877037445,0.004447999223475672,-0.016124724751235255,-0.008732448408373407
Rv0032,-0.023874530650052107,-0.001959701366944242,-0.010217992184034243,0.014172780238127316,-0.01679077295054108,0.015603024231265798,-0.00654899296586192,0.01372903454214279,-0.0016790238839283916,-0.011842186100995142,0.02333591086998291,-0.009299683745693036,-0.012280164869544192,0.0016272837795454,-0.013072526519657858,-0.006741057771645822,-0.030509414578567588,0.005647965917976446
Rv0033,-0.02575483259425281,0.006616659670007217,-0.0028098116337571407,0.0020991015602242094,-0.004317707716566125,0.011687746956599711,-0.009912420047341101,0.013783912654547826,0.002218544807997193,0.003953701308756002,0.04279479262906302,0.00609663223344958,-0.037801934134244146,0.008179877475022315,-0.012785163179245605,-0.01415301980664152,-0.009494985684461285,-0.00994103679562076
Rv0034,-0.02534765673430544,0.012589482235512707,0.005766862809527097,0.021447221401040006,-0.032758478651842095,0.008532958948394119,-0.05702393608354612,0.015949413512731332,-0.00710617678900451,-0.005143498680890147,0.006349997692147967,-0.029915312196985382,-0.019391601991074127,-0.008955727717681189,-0.012587084550092872,-0.02607893596933094,0.019413323825074814,0.024927192268119805
Rv0035,-0.01743059021504945,0.012374182269569762,-0.0028207336366380597,0.006135426198801085,-0.019783031536548503,0.014657742085766251,-0.029354150896355055,0.004619453713497369,-0.0013413426910323426,-0.004358717500852594,0.015382617850987669,-0.00043814129353640744,-0.026587061279345302,-0.0027941479407064683,-0.002101659215087345,-0.01184222649281271,-0.008740519434061102,0.01635891160466109
Rv0036c,0.005012448220904997,-0.0018647255824949282,-0.005705177995203734,-0.0060278768887222275,-0.00020514246887722755,0.003057556206363106,0.002907166048933694,0.006954343325165215,-0.009365987338666053,-5.9883226878126775e-05,0.0006855266003163277,-0.004234122998256809,-0.017559482377815593,0.004726207912565015,-0.0066534929611315324,-0.012097533548305452,0.015143358929834705,0.006729110174077576
