,A,Rv0576
SRX6923939,-0.2825851716,0.027492023400000003
SRX6923938,0.2825851716,-0.027492023400000003
SRX6923936,1.0764796216,-0.1394350925
SRX6923937,0.7929507364,-0.1251685497
SRX5509428,-0.1369121197,-0.0194575926
SRX5509427,0.1369121197,0.0194575926
SRX1882560,-20.6931941029,0.3515178489
SRX1882558,-20.8215827393,0.3350862571
SRX1882559,-21.1199270478,0.3921509228
SRX1882561,-20.4418527909,0.36634297730000004
SRX1882563,-20.7291677553,0.2244617927
SRX1882562,-20.6250478776,0.3506396275
SRX1882565,-21.3019893863,0.3677552866
SRX1882566,-21.0794674992,0.43778211510000004
SRX1882564,-21.0623066773,0.4583425969
SRX1882568,-20.6488354684,0.9080699528
SRX1882567,-20.7363692499,0.7911288774
SRX1882569,-20.7934102992,0.7264032402
SRX1882555,-0.0410075136,0.021280967300000002
SRX1882557,0.0925654142,-0.0532736122
SRX1882556,-0.051557900600000005,0.0319926449
SRX5088615,0.45638222240000004,0.9336893143
SRX5088616,0.549544193,1.6007205066
SRX6845150,0.43143760070000003,1.7335100460000001
SRX6845149,-1.7336191935,1.4175078403999999
SRX6845151,-0.4631257957,-0.2545083551
SRX6845152,0.7774073262000001,0.38697626820000003
SRX6845145,-0.42128855940000004,1.6493777643
SRX6845146,-2.0257740591,1.5034059619
SRX6845142,3.0442648557,0.5644448993
SRX6845141,2.3951247231,0.3072697026
SRX6845144,0.08564146510000001,0.08374113
SRX6845143,-0.08564146510000001,-0.08374113
SRX5605051,-0.046646168700000004,-0.1035524288
SRX5605045,0.046646168700000004,0.1035524288
SRX5605060,-3.3884547014,0.6606458882
SRX5605059,-2.0991054364,0.606027712
SRX2382017,-0.046281081700000004,-0.011388121900000001
SRX2382024,0.046281081700000004,0.011388121900000001
SRX2382027,2.606885696,-0.14083263640000002
SRX2382029,2.6123163241,-0.22204061590000002
SRX2382217,0.8334011555,-0.2491900987
SRX2382023,1.3097333971,-0.3145462109
SRX2382218,-0.1677384943,0.214974098
SRX2382219,0.9855882291,0.5820157314000001
SRX2382213,2.3460399247,-0.2835966412
SRX2382019,2.2634328567,0.0974144177
SRX2382214,1.8790634556999999,0.8273574427
SRX2382215,1.4220424129,-0.0810873743
SRX2382020,3.3257770952,0.8236182308000001
SRX2382216,3.5336690303,0.7997404242
SRX2382022,1.2073118608,0.0891338371
SRX2382033,0.5203906519,0.3403470804
