,A,phoP
SRX3686809,5.5138629617,-0.1426276428
SRX3686807,5.8862779809,-0.22820448410000002
SRX3686808,6.2372126719,-0.1262279551
SRX3686787,5.6676479276,-0.0864822076
SRX3686786,5.7500920216,-0.0717663411
SRX3686785,5.4309626511,0.013844695300000001
SRX3686799,2.6481453129,0.1072298331
SRX3686797,2.4126958583,0.116095266
SRX3686798,2.4912205715,0.0491379986
SRX3686746,4.37208576,-0.085350494
SRX3686748,4.2462150954,-0.1039131137
SRX3686747,5.0558137169,-0.1758845598
SRX3686773,4.3668160617,0.08628977460000001
SRX3686774,4.1494514025,0.1501010342
SRX3686775,3.575325432,0.07864791
SRX3686754,5.7607775251,-0.1486036575
SRX3686753,6.0714448411,-0.1787831591
SRX3686752,5.5154445587000005,-0.117467757
SRX3686780,5.0951701867,-0.23383561930000002
SRX3686779,5.983699815,-0.067292408
SRX3686781,5.8500130133,-0.138624573
SRX3686806,3.6127619727,-0.0518820226
SRX3686805,3.4319608452,-0.015633936600000002
SRX3686758,4.2372866627,-0.011216688
SRX3686760,4.2375280206,0.044549941600000004
SRX3686759,4.2392100151,0.0036752262000000003
SRX3686810,3.4256957522,0.0178202486
SRX3686811,4.5720746561,-0.0388739373
SRX3686812,4.0163541313,-0.0305817312
SRX3686813,5.7603863712,-0.0761421759
SRX3686815,3.8087429728,-0.5398170516
SRX3686816,4.2271359449,-0.5786433142
SRX3686823,5.0751888669,0.0230595309
SRX3686824,5.9001317603,0.0561313357
SRX3686825,4.7177474086,0.0760502713
SRX3686827,3.1438297126,0.0692609525
SRX3686826,3.1302458171,0.1704045273
SRX7054191,-0.9116331190000001,-0.0032488181
SRX7054189,0.9325046287000001,0.1353203164
SRX7054190,-0.0208715096,-0.13207149840000001
SRX7054193,-2.3328994839,-0.20123797070000002
SRX7054192,-1.6475315286,-0.38416164210000003
SRX7054194,-1.4271681378,-0.32595929160000003
SRX4506284,3.7756127793000003,-0.2632446861
SRX4506280,4.0392733669,-0.3893745188
SRX4506282,4.1099937684,-0.4518230199
SRX4506278,3.9341621637,-0.42216089500000004
SRX4506274,-0.1105566816,0.047302266
SRX4506273,0.0436545499,-0.0770216526
SRX4506271,0.31176958600000004,0.0525708723
SRX4506276,-0.2448674543,-0.0228514857
SRX4506283,4.6518390809,0.0193267279
SRX4506279,4.2309817748,0.0161667416
SRX4506285,4.5566596747,-0.08693414270000001
SRX4506281,4.2668863021,-0.07445952580000001
SRX4506275,2.0563323805,-0.0342131892
SRX4506277,1.4392963646,-0.2392090588
SRX4506272,2.2654082662,-0.1267012636
SRX2923393,0.3980752571,-0.0171836775
SRX2923394,-0.3980752571,0.0171836775
SRX2923398,-4.1219188455,0.8719597736
SRX2923397,1.1628610939,0.39550102610000004
SRX2923395,-8.9172579145,-0.5329608716
SRX2923396,-9.1714232848,-0.6350838484
SRX2923400,-0.25777734550000003,-0.054557343300000005
SRX2923401,-1.0959775749,0.1876629834
SRX2923403,6.8228876296,-1.070071374
SRX2923402,5.0984927713,-1.5019251354
SRX6853288,1.8586201319,-0.0116745484
SRX6853287,0.4266140197,-0.0631744789
SRX6853286,0.6612751285,-0.077521218
SRX6853284,-0.2257475202,-0.0087401015
SRX6853285,1.1336069478,0.025024844100000002
SRX6853283,-0.9078594276,-0.0162847425
SRX4319040,-0.2529031906,-0.0340547649
SRX4319041,0.5116159342000001,0.0530990478
SRX4319039,-0.2587127436,-0.0190442829
SRX4314613,4.2347054277,0.0196051266
SRX4314614,3.5715802654,-0.19428529190000002
SRX4314615,3.6692275714,0.0550242067
SRX4314632,-5.5789860189,0.8142224111
SRX4314631,-5.1994910444,0.7121217819
SRX4314633,-5.7608185983,0.7250443952000001
SRX4314622,0.1955005529,0.4888400874
SRX4314623,0.6807706880000001,0.4207257809
SRX4314624,1.299365719,0.3581083906
SRX4314611,0.7526765836,-0.0347741264
SRX4314610,-0.2263583875,0.018563505
SRX4314612,-0.5263181961,0.0162106214
SRX4314630,-4.7118812744,0.2036213343
SRX4314628,-5.4857365071,0.131531797
SRX4314629,-5.4803858967,0.1165389465
SRX4314619,-2.0096454459,0.1757693863
SRX4314621,-1.4981327127,0.0708652718
SRX4314620,-2.0064507919,0.0652910138
SRX7119390,-0.32872648600000004,0.0400739456
SRX7119388,0.32872648600000004,-0.0400739456
SRX7119386,-7.260822465,-0.8103768758000001
SRX7119385,-10.588662274,-0.7610511704
SRX7119387,-7.3650505328,-0.9865305162
SRX3746749,-4.7552500004,-0.7911950131000001
SRX3746748,-4.604361823,-0.28250078300000003
SRX3746751,0.5520498526000001,0.2343061981
SRX3746750,-0.5612000104,0.32564027840000004
SRX3746752,1.2058472674,-0.049582367700000005
SRX3746753,3.2161215053,0.0909413438
SRX3746755,-0.6302054785,0.1870276816
SRX3746754,0.6302054785,-0.1870276816
SRX2345943,0.2090404982,0.0370552366
SRX2345942,-0.2090404982,-0.0370552366
SRX2345941,-3.1890349397,-0.1963902238
SRX2345940,-1.4622499968,-0.7172488105
SRX3992217,-1.3036780712,-0.0121311239
SRX3992216,-1.5168519264,-0.0738690293
SRX3992214,8.1429683332,-0.037292295600000004
SRX3992215,6.7254974955,0.0940667602
SRX3992221,5.862810264,0.2505021045
SRX3992220,7.2713030319,0.17127310580000002
SRX3992219,-6.4849823195,0.2049702279
SRX3992218,-6.1856554263,-0.1675900165
SRX3992201,-6.1633138509,-0.16436063580000002
SRX3992200,-6.4242099933,0.2212169813
SRX3992198,-1.1391082336,-0.0214372492
SRX3992199,-1.6547346603,0.0185425444
SRX3992202,0.3470081088,0.0128480298
SRX3992203,0.6247358041000001,-0.025305469900000002
SRX3992204,8.3694004469,-0.18351688870000002
SRX3992205,6.5928524835,-0.2214288184
SRX3992206,8.583200886,-0.1861549966
